,Target,Available Business Disclosures,Disclosure,Sources,x,Source
585,,and including fuel types used.,,,,
586,,"b.   Total fuel consumption within the organization from renewable sources, in joules or multiples, and",,,,
587,,including fuel types used.,,,,
588,,"c.  In joules, watt-hours or multiples, the total:",,,,
589,,i.  electricity consumption,,,,
590,,ii.   heating consumption,,,,
591,,iii.  cooling consumption,,,,
592,,iv.steam consumption,,,,
593,,"d.   In joules, watt-hours or multiples, the total:",,,,
594,,i.   electricity sold,,,,
595,,ii.  heating sold,,,,
596,,iii.cooling sold iv. steam sold,,,,
597,,"e.   Total energy consumption within the organization, in joules or multiples.",,,,
598,,"f.  Standards, methodologies, assumptions, and/or calculation tools used.",,,,
599,,g.  Source of the conversion factors used.,,,,
600,7.2,"Energy consumption outside of the organization, in joules or multiples.",302-2,GRI 302: Energy 2016,,
601,7.3,"a.  Total fuel consumption within the organization from non-renewable sources, in joules or multiples,",302-1,GRI 302: Energy 2016,,
602,,and including fuel types used.,,,,
603,,"b.   Total fuel consumption within the organization from renewable sources, in joules or multiples, and",,,,
604,,including fuel types used.,,,,
605,,"c.   In joules, watt-hours or multiples, the total:",,,,
606,,i.  electricity consumption,,,,
607,,ii.   heating consumption,,,,
608,,iii.   cooling consumption,,,,
609,,iv.  steam consumption,,,,
610,,"d.  In joules, watt-hours or multiples, the total:",,,,
611,,i.  electricity sold,,,,
612,,ii.  heating sold,,,,
613,,iii.   cooling sold iv. steam sold,,,,
614,,"e.   Total energy consumption within the organization, in joules or multiples.",,,,
615,,"f.  Standards, methodologies, assumptions, and/or calculation tools used.",,,,
616,,g.   Source of the conversion factors used.,,,,
617,7.3,"Energy consumption outside of the organization, in joules or multiples.",302-2-a,GRI 302: Energy 2016,,
618,7.3,Energy intensity ratio for the organization.,302-3-a,GRI 302: Energy 2016,,
619,7.3,Amount of reductions in energy consumption achieved as a direct result of conservation and efficiency,302-4-a,GRI 302: Energy 2016,,
620,,"initiatives, in joules or multiples.",,,,
621,7.3,"Reductions in energy requirements of sold products and services achieved during the reporting period,",302-5-a,GRI 302: Energy 2016,,
622,,in joules or multiples.,,,,
623,8.1,"a.  Direct economic value generated and distributed (EVG&D) on an accruals basis, including the basic",201-1,GRI 201: Economic,,
624,,components for the organization’s global operations as listed below. If data are presented on a cash,,Performance 2016,,
625,,"basis, report the justification for this decision in addition to reporting the following basic components:",,,,
626,,i.  Direct economic value generated: revenues;,,,,
627,,"ii.   Economic value distributed: operating costs, employee wages and benefits, payments to",,,,
628,,"providers of capital, payments to government by country, and community investments;",,,,
629,,iii.  Economic value retained: ‘direct economic value generated’ less ‘economic value distributed’.,,,,
630,,"b.   Where significant, report EVG&D separately at country, regional, or market levels, and the criteria",,,,
631,,used for defining significance.,,,,
632,8.2,"a.  Direct economic value generated and distributed (EVG&D) on an accruals basis, including the basic",201-1,GRI 201: Economic,,
633,,components for the organization’s global operations as listed below. If data are presented on a cash,,Performance 2016,,
634,,"basis, report the justification for this decision in addition to reporting the following basic components:",,,,
635,,i.  Direct economic value generated: revenues;,,,,
636,,"ii.  Economic value distributed: operating costs, employee wages and benefits, payments to",,,,
637,,"providers of capital, payments to government by country, and community investments;",,,,
638,,iii.   Economic value retained: ‘direct economic value generated’ less ‘economic value distributed’.,,,,
639,,"b.  Where significant, report EVG&D separately at country, regional, or market levels, and the criteria",,,,
640,,used for defining significance.,,,,
641,8.2,"a.  Examples of significant identified indirect economic impacts of the organization, including positive",203-2,GRI 203: Indirect,,
642,,and negative impacts.,,Economic Impacts 2016,,
643,,b.  Significance of the indirect economic impacts in the context of external benchmarks and stakeholder,,,,
644,,"priorities, such as national and international standards, protocols, and policy agendas.",,,,
645,8.2,Average hours of training that the organization’s employees have undertaken during the reporting,404-1-a,GRI 404: Training and,,
646,,"period, by:",,Education 2016,,
647,,i.  Gender;,,,,
648,,ii.   Employee category.,,,,
649,8.2,a.   Type and scope of programs implemented and assistance provided to upgrade employee skills.,404-2,GRI 404: Training and,,
650,,b.   Transition assistance programs provided to facilitate continued employability and the management of,,Education 2016,,
651,,career endings resulting from retirement or termination of employment.,,,,
652,8.3,"a.   Examples of significant identified indirect economic impacts of the organization, including positive",203-2,GRI 203: Indirect,,
653,,and negative impacts.,,Economic Impacts 2016,,
654,,b.   Significance of the indirect economic impacts in the context of external benchmarks and stakeholder,,,,
655,,"priorities, such as national and international standards, protocols, and policy agendas.",,,,
656,8.3,Percentage of the procurement budget used for significant locations of operation that is spent on,204-1-a,GRI 204: Procurement,,
657,,suppliers local to that operation (such as percentage of products and services purchased locally).,,Practices 2016,,
658,8.4,Total weight or volume of materials that are used to produce and package the organization’s primary,301-1-a,GRI 301: Materials 2016,,
659,,"products and services during the reporting period, by:",,,,
660,,i.  Non-renewable materials used;,,,,
661,,ii.  Renewable materials used.,,,,
662,8.4,Percentage of recycled input materials used to manufacture the organization’s primary products and,301-2-a,GRI 301: Materials 2016,,
663,,services.,,,,
664,8.4,a.  Percentage of reclaimed products and their packaging materials for each product category.,301-3,GRI 301: Materials 2016,,
665,,b.  How the data for this disclosure have been collected.,,,,
666,8.4,"a.   Total fuel consumption within the organization from non-renewable sources, in joules or multiples,",302-1,GRI 302: Energy 2016,,
667,,and including fuel types used.,,,,
668,,"b.  Total fuel consumption within the organization from renewable sources, in joules or multiples, and",,,,
669,,including fuel types used.,,,,
670,,"c.  In joules, watt-hours or multiples, the total:",,,,
671,,i.   electricity consumption,,,,
672,,ii.   heating consumption,,,,
673,,iii.   cooling consumption,,,,
674,,iv.  steam consumption,,,,
675,,"d.   In joules, watt-hours or multiples, the total:",,,,
676,,i.  electricity sold,,,,
677,,ii.  heating sold,,,,
678,,iii.  cooling sold,,,,
679,,iv.   steam sold,,,,
680,,"e.  Total energy consumption within the organization, in joules or multiples.",,,,
681,,"f.  Standards, methodologies, assumptions, and/or calculation tools used.",,,,
682,,g.  Source of the conversion factors used.,,,,
683,8.4,"Energy consumption outside of the organization, in joules or multiples.",302-2-a,GRI 302: Energy 2016,,
684,8.4,Energy intensity ratio for the organization.,302-3-a,GRI 302: Energy 2016,,
685,8.4,Amount of reductions in energy consumption achieved as a direct result of conservation and efficiency,302-4-a,GRI 302: Energy 2016,,
686,,"initiatives, in joules or multiples.",,,,
687,8.4,"Reductions in energy requirements of sold products and services achieved during the reporting period,",302-5-a,GRI 302: Energy 2016,,
688,,in joules or multiples.,,,,
689,8.4,"Actions, including circularity measures, taken to prevent waste generation in the organization’s",306-2-a,GRI 306: Waste 2020,,
690,,"own activities and upstream and downstream in its value chain, and to manage significant",,,,
691,,impacts from waste generated.,,,,
692,8.5,"Total number of employees by employment contract (permanent and temporary), by gender.",102-8-a,GRI 102: General,,
693,,,,Disclosures 2016,,
694,8.5,"Total number of employees by employment contract (permanent and temporary), by region.",102-8-b,GRI 102: General,,
695,,,,Disclosures 2016,,
696,8.5,"Total number of employees by employment type (full-time and part-time), by gender.",102-8-c,GRI 102: General,,
697,,,,Disclosures 2016,,
698,8.5,Whether a significant portion of the organization’s activities are performed by workers who are not,102-8-d,GRI 102: General,,
699,,"employees. If applicable, a description of the nature and scale of work performed by workers who are",,Disclosures 2016,,
700,,not employees.,,,,
701,8.5,a.   When a significant proportion of employees are compensated based on wages subject to minimum,202-1,GRI 202: Market Presence,,
702,,"wage rules, report the relevant ratio of the entry level wage by gender at significant locations of",,2016,,
703,,operation to the minimum wage.,,,,
704,,b.   When a significant proportion of other workers (excluding employees) performing the organization’s,,,,
705,,"activities are compensated based on wages subject to minimum wage rules, describe the actions",,,,
706,,taken to determine whether these workers are paid above the minimum wage.,,,,
707,,"c.  Whether a local minimum wage is absent or variable at significant locations of operation, by gender.",,,,
708,,"In circumstances in which different minimums can be used as a reference, report which minimum",,,,
709,,wage is being used.,,,,
710,,d.  The definition used for ‘significant locations of operation’.,,,,
711,8.5,Percentage of senior management at significant locations of operation that are hired from the local,202-2-a,GRI 202: Market Presence,,
712,,community.,,2016,,
713,8.5,"a.   Examples of significant identified indirect economic impacts of the organization, including positive",203-2,GRI 203: Indirect,,
714,,and negative impacts.,,Economic Impacts 2016,,
715,,b.   Significance of the indirect economic impacts in the context of external benchmarks and stakeholder,,,,
716,,"priorities, such as national and international standards, protocols, and policy agendas.",,,,
717,8.5,"a.   Total number and rate of new employee hires during the reporting period, by age group, gender and",401-1,GRI 401: Employment,,
718,,region.,,2016,,
719,,"b.  Total number and rate of employee turnover during the reporting period, by age group, gender and",,,,
720,,region.,,,,
721,8.5,Benefits which are standard for full-time employees of the organization but are not provided to temporary,401-2-a,GRI 401: Employment,,
722,,"or part-time employees, by significant locations of operation. These include, as a minimum:",,2016,,
723,,i.  Life insurance;,,,,
724,,ii.  Health care;,,,,
725,,iii.  Disability and invalidity coverage;,,,,
726,,iv.  Parental leave;,,,,
727,,v.  Retirement provision;,,,,
728,,vi.  Stock ownership;,,,,
729,,vii.  Others.,,,,
730,8.5,"a.   Total number of employees that were entitled to parental leave, by gender.",401-3,GRI 401: Employment,,
731,,"b.  Total number of employees that took parental leave, by gender.",,2016,,
732,,"c.  Total number of employees that returned to work in the reporting period after parental leave ended,",,,,
733,,by gender.,,,,
734,,d.   Total number of employees that returned to work after parental leave ended that were still employed,,,,
735,,"12 months after their return to work, by gender.",,,,
736,,"e.   Return to work and retention rates of employees that took parental leave, by gender.",,,,
737,8.5,Average hours of training that the organization’s employees have undertaken during the reporting,404-1-a,GRI 404: Training and,,
738,,"period, by:",,Education 2016,,
739,,i.  Gender;,,,,
740,,ii.  Employee category.,,,,
741,8.5,a.   Type and scope of programs implemented and assistance provided to upgrade employee skills.,404-2,GRI 404: Training and,,
742,,b.   Transition assistance programs provided to facilitate continued employability and the management of,,Education 2016,,
743,,career endings resulting from retirement or termination of employment.,,,,
744,8.5,Percentage of total employees by gender and by employee category who received a regular,404-3-a,GRI 404: Training and,,
745,,performance and career development review during the reporting period.,,Education 2016,,
746,8.5,a.   Percentage of individuals within the organization’s governance bodies in each of the following,405-1,GRI 405: Diversity and,,
747,,diversity categories:,,Equal Opportunity 2016,,
748,,i.  Gender;,,,,
749,,"ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;",,,,
750,,iii.  Other indicators of diversity where relevant (such as minority or vulnerable groups).,,,,
751,,b.   Percentage of employees per employee category in each of the following diversity categories:,,,,
752,,i.  Gender;,,,,
753,,"ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;",,,,
754,,iii.   Other indicators of diversity where relevant (such as minority or vulnerable groups).,,,,
755,8.5,"Ratio of the basic salary and remuneration of women to men for each employee category, by significant",405-2-b,GRI 405: Diversity and,,
756,,locations of operation.,,Equal Opportunity 2016,,
757,8.6,"a.   Total number and rate of new employee hires during the reporting period, by age group, gender and",401-1,GRI 401: Employment,,
758,,region.,,2016,,
759,,"b.  Total number and rate of employee turnover during the reporting period, by age group, gender and",,,,
760,,region.,,,,
761,8.7,a.   Operations and suppliers considered to have significant risk for incidents of:,408-1,GRI 408: Child Labor 2016,,
762,,i.  child labor;,,,,
763,,ii.   young workers exposed to hazardous work.,,,,
764,,b.   Operations and suppliers considered to have significant risk for incidents of child labor either in,,,,
765,,terms of:,,,,
766,,i.   type of operation (such as manufacturing plant) and supplier;,,,,
767,,ii.  countries or geographic areas with operations and suppliers considered at risk.,,,,
768,,c.   Measures taken by the organization in the reporting period intended to contribute to the effective,,,,
769,,abolition of child labor.,,,,
770,8.7,Operations and suppliers considered to have significant risk for incidents of forced or compulsory labor,409-1,GRI 409: Forced or,,
771,,either in terms of:,,Compulsory Labor 2016,,
772,,i.  Type of operation (such as manufacturing plant) and supplier;,,,,
773,,ii.  Countries or geographic areas with operations and suppliers considered at risk.,,,,
774,8.7,Measures taken by the organization in the reporting period intended to contribute to the elimination of all,409-1-b,GRI 409: Forced or,,
775,,forms of forced or compulsory labor.,,Compulsory Labor 2016,,
776,8.8,Percentage of total employees covered by collective bargaining agreements.,102-41-a,GRI 102: General,,
777,,,,Disclosures 2016,,
778,8.8,a.   Minimum number of weeks’ notice typically provided to employees and their representatives prior to,402-1,GRI 402: Labor/,,
779,,the implementation of significant operational changes that could substantially affect them.,,Management Relations,,
780,,"b.  For organizations with collective bargaining agreements, report whether the notice period and",,2016,,
781,,provisions for consultation and negotiation are specified in collective agreements.,,,,
782,8.8,"A statement of whether an occupational health and safety management system has been implemented,",403-1-a,GRI 403: Occupational,,
783,,including whether:,,Health and Safety 2018,,
784,,"i.  the system has been implemented because of legal requirements and, if so, a list of the",,,,
785,,requirements;,,,,
786,,ii.   the system has been implemented based on recognized risk management and/or management,,,,
787,,"system standards/guidelines and, if so, a list of the standards/guidelines.",,,,
788,8.8,"A description of the scope of workers, activities, and workplaces covered by the occupational health and",403-1-b,GRI 403: Occupational,,
789,,"safety management system, and an explanation of whether and, if so, why any workers, activities, or",,Health and Safety 2018,,
790,,workplaces are not covered.,,,,
791,8.8,A description of the processes used to identify work-related hazards and assess risks on a routine and,403-2-a,GRI 403: Occupational,,
792,,"non-routine basis, and to apply the hierarchy of controls in order to eliminate hazards and minimize",,Health and Safety 2018,,
793,,"risks, including:",,,,
794,,"i.  how the organization ensures the quality of these processes, including the competency of",,,,
795,,persons who carry them out;,,,,
796,,ii.   how the results of these processes are used to evaluate and continually improve the,,,,
797,,occupational health and safety management system.,,,,
798,8.8,"A description of the processes for workers to report work-related hazards and hazardous situations, and",403-2-b,GRI 403: Occupational,,
799,,an explanation of how workers are protected against reprisals.,,Health and Safety 2018,,
800,8.8,A description of the policies and processes for workers to remove themselves from work situations that,403-2-c,GRI 403: Occupational,,
801,,"they believe could cause injury or ill health, and an explanation of how workers are protected against",,Health and Safety 2018,,
802,,reprisals.,,,,
803,8.8,"A description of the processes used to investigate work-related incidents, including the processes to",403-2-d,GRI 403: Occupational,,
804,,"identify hazards and assess risks relating to the incidents, to determine corrective actions using the",,Health and Safety 2018,,
805,,"hierarchy of controls, and to determine improvements needed in the occupational health and safety",,,,
806,,management system.,,,,
807,8.8,A description of the occupational health services’ functions that contribute to the identification and,403-3-a,GRI 403: Occupational,,
808,,"elimination of hazards and minimization of risks, and an explanation of how the organization ensures the",,Health and Safety 2018,,
809,,quality of these services and facilitates workers’ access to them.,,,,
810,8.8,"A description of the processes for worker participation and consultation in the development,",403-4-a,GRI 403: Occupational,,
811,,"implementation, and evaluation of the occupational health and safety management system, and for",,Health and Safety 2018,,
812,,providing access to and communicating relevant information on occupational health and safety to,,,,
813,,workers.,,,,
814,8.8,"Where formal joint management–worker health and safety committees exist, a description of their",403-4-b,GRI 403: Occupational,,
815,,"responsibilities, meeting frequency, decision-making authority, and whether and, if so, why any workers",,Health and Safety 2018,,
816,,are not represented by these committees.,,,,
817,8.8,"A description of any occupational health and safety training provided to workers, including generic",403-5-a,GRI 403: Occupational,,
818,,"training as well as training on specific work-related hazards, hazardous activities, or hazardous",,Health and Safety 2018,,
819,,situations,,,,
820,8.8,A description of the organization’s approach to preventing or mitigating significant negative occupational,403-7-a,GRI 403: Occupational,,
821,,"health and safety impacts that are directly linked to its operations, products or services by its business",,Health and Safety 2018,,
822,,"relationships, and the related hazards and risks.",,,,
823,8.8,a.  If the organization has implemented an occupational health and safety management system based,403-8,GRI 403: Occupational,,
824,,on legal requirements and/or recognized standards/guidelines:,,Health and Safety 2018,,
825,,i.  the number and percentage of all employees and workers who are not employees but whose,,,,
826,,"work and/or workplace is controlled by the organization, who are covered by such a system;",,,,
827,,ii.   the number and percentage of all employees and workers who are not employees but whose,,,,
828,,"work and/or workplace is controlled by the organization, who are covered by such a system that",,,,
829,,has been internally audited;,,,,
830,,iii.  the number and percentage of all employees and workers who are not employees but whose,,,,
831,,"work and/or workplace is controlled by the organization, who are covered by such a system that",,,,
832,,has been audited or certified by an external party.,,,,
833,,"b.  Whether and, if so, why any workers have been excluded from this disclosure, including the types of",,,,
834,,worker excluded.,,,,
835,,"c.  Any contextual information necessary to understand how the data have been compiled, such as any",,,,
836,,"standards, methodologies, and assumptions used.",,,,
837,8.8,a.  For all employees:,403-9,GRI 403: Occupational,,
838,,i.  The number and rate of fatalities as a result of work-related injury;,,Health and Safety 2018,,
839,,ii.   The number and rate of high-consequence work-related injuries (excluding fatalities);,,,,
840,,iii.  The number and rate of recordable work-related injuries;,,,,
841,,iv.   The main types of work-related injury;,,,,
842,,v.   The number of hours worked.,,,,
843,,b.  For all workers who are not employees but whose work and/or workplace is controlled by the,,,,
844,,organization:,,,,
845,,i.  The number and rate of fatalities as a result of work-related injury;,,,,
846,,ii.   The number and rate of high-consequence work-related injuries (excluding fatalities);,,,,
847,,iii.   The number and rate of recordable work-related injuries;,,,,
848,,iv.   The main types of work-related injury;,,,,
849,,v.  The number of hours worked.,,,,
850,,"c.  The work-related hazards that pose a risk of high-consequence injury, including:",,,,
851,,i.   how these hazards have been determined;,,,,
852,,ii.   which of these hazards have caused or contributed to high-consequence injuries during the,,,,
853,,reporting period;,,,,
854,,iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of,,,,
855,,controls.,,,,
856,,d.   Any actions taken or underway to eliminate other work-related hazards and minimize risks using the,,,,
857,,hierarchy of controls.,,,,
858,,"e.   Whether the rates have been calculated based on 200,000 or 1,000,000 hours worked.",,,,
859,,"f.  Whether and, if so, why any workers have been excluded from this disclosure, including the types of",,,,
860,,worker excluded.,,,,
861,,"g.   Any contextual information necessary to understand how the data have been compiled, such as any",,,,
862,,"standards, methodologies, and assumptions used.",,,,
863,8.8,a.   For all employees:,403-10,GRI 403: Occupational,,
864,,i.  The number of fatalities as a result of work-related ill health;,,Health and Safety 2018,,
865,,ii.   The number of cases of recordable work-related ill health;,,,,
866,,iii.   The main types of work-related ill health.,,,,
867,,b.   For all workers who are not employees but whose work and/or workplace is controlled by the,,,,
868,,organization:,,,,
869,,i.   The number of fatalities as a result of work-related ill health;,,,,
870,,ii.  The number of cases of recordable work-related ill health;,,,,
871,,iii.  The main types of work-related ill health.,,,,
872,,"c.  The work-related hazards that pose a risk of ill health, including:",,,,
873,,i.  how these hazards have been determined;,,,,
874,,ii.  which of these hazards have caused or contributed to cases of ill health during the reporting,,,,
875,,period;,,,,
876,,iii.   actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of,,,,
877,,controls.,,,,
878,,"d.  Whether and, if so, why any workers have been excluded from this disclosure, including the types of",,,,
879,,worker excluded.,,,,
880,,"e.  Any contextual information necessary to understand how the data have been compiled, such as any",,,,
881,,"standards, methodologies, and assumptions used.",,,,
882,8.8,a.   Total number of incidents of discrimination during the reporting period.,406-1,GRI 406: Non-,,
883,,b.  Status of the incidents and actions taken with reference to the following:,,discrimination 2016,,
884,,i.   Incident reviewed by the organization;,,,,
885,,ii.  Remediation plans being implemented;,,,,
886,,"iii.  Remediation plans that have been implemented, with results reviewed through routine internal",,,,
887,,management review processes;,,,,
888,,iv.  Incident no longer subject to action.,,,,
889,8.8,a.   Operations and suppliers in which workers’ rights to exercise freedom of association or collective,407-1,GRI 407: Freedom of,,
890,,bargaining may be violated or at significant risk either in terms of: i. type of operation (such as,,Association and Collective,,
891,,manufacturing plant) and supplier; ii. countries or geographic areas with operations and suppliers,,Bargaining 2016,,
892,,considered at risk.,,,,
893,,b.  Measures taken by the organization in the reporting period intended to support rights to exercise,,,,
894,,freedom of association and collective bargaining.,,,,
895,8.8,Percentage of new suppliers that were screened using social criteria.,414-1-a,GRI 414: Supplier Social,,
896,,,,Assessment 2016,,
897,8.8,a.   Number of suppliers assessed for social impacts.,414-2,GRI 414: Supplier Social,,
898,,b.  Number of suppliers identified as having significant actual and potential negative social impacts.,,Assessment 2016,,
899,,c.  Significant actual and potential negative social impacts identified in the supply chain.,,,,
900,,d.   Percentage of suppliers identified as having significant actual and potential negative social impacts,,,,
901,,with which improvements were agreed upon as a result of assessment.,,,,
902,,e.   Percentage of suppliers identified as having significant actual and potential negative social impacts,,,,
903,,"with which relationships were terminated as a result of assessment, and why.",,,,
904,9.1,"a.  Direct economic value generated and distributed (EVG&D) on an accruals basis, including the basic",201-1,GRI 201: Economic,,
905,,components for the organization’s global operations as listed below. If data are presented on a cash,,Performance 2016,,
906,,"basis, report the justification for this decision in addition to reporting the following basic components:",,,,
907,,i.   Direct economic value generated: revenues;,,,,
908,,"ii.  Economic value distributed: operating costs, employee wages and benefits, payments to",,,,
909,,"providers of capital, payments to government by country, and community investments;",,,,
910,,iii.  Economic value retained: ‘direct economic value generated’ less ‘economic value distributed’.,,,,
911,,"b.  Where significant, report EVG&D separately at country, regional, or market levels, and the criteria",,,,
912,,used for defining significance.,,,,
913,9.1,a.  Extent of development of significant infrastructure investments and services supported.,203-1,GRI 203: Indirect,,
914,,"b.  Current or expected impacts on communities and local economies, including positive and negative",,Economic Impacts 2016,,
915,,impacts where relevant.,,,,
916,,"c.   Whether these investments and services are commercial, in-kind, or pro bono engagements.",,,,
917,9.4,"a.  Direct economic value generated and distributed (EVG&D) on an accruals basis, including the basic",201-1,GRI 201: Economic,,
918,,components for the organization’s global operations as listed below. If data are presented on a cash,,Performance 2016,,
919,,"basis, report the justification for this decision in addition to reporting the following basic components:",,,,
920,,i.   Direct economic value generated: revenues;,,,,
921,,"ii.   Economic value distributed: operating costs, employee wages and benefits, payments to",,,,
922,,"providers of capital, payments to government by country, and community investments;",,,,
923,,iii.   Economic value retained: ‘direct economic value generated’ less ‘economic value distributed’.,,,,
924,,"b.  Where significant, report EVG&D separately at country, regional, or market levels, and the criteria",,,,
925,,used for defining significance.,,,,
926,9.4,a.  Extent of development of significant infrastructure investments and services supported.,203-1,GRI 203: Indirect,,
927,,"b.  Current or expected impacts on communities and local economies, including positive and negative",,Economic Impacts 2016,,
928,,impacts where relevant.,,,,
929,,"c.   Whether these investments and services are commercial, in-kind, or pro bono engagements.",,,,
930,9.5,"a.   Direct economic value generated and distributed (EVG&D) on an accruals basis, including the basic",201-1,GRI 201: Economic,,
931,,components for the organization’s global operations as listed below. If data are presented on a cash,,Performance 2016,,
932,,"basis, report the justification for this decision in addition to reporting the following basic components:",,,,
933,,i.  Direct economic value generated: revenues;,,,,
934,,"ii.   Economic value distributed: operating costs, employee wages and benefits, payments to",,,,
935,,"providers of capital, payments to government by country, and community investments;",,,,
936,,iii.   Economic value retained: ‘direct economic value generated’ less ‘economic value distributed’.,,,,
937,,"b.   Where significant, report EVG&D separately at country, regional, or market levels, and the criteria",,,,
938,,used for defining significance.,,,,
939,10.3,"Total number of employees by employment contract (permanent and temporary), by gender.",102-8-a,GRI 102: General,,
940,,,,Disclosures 2016,,
941,10.3,"Total number of employees by employment type (full-time and part-time), by gender.",102-8-c,GRI 102: General,,
942,,,,Disclosures 2016,,
943,10.3,"a.  Total number and rate of new employee hires during the reporting period, by age group, gender and",401-1,GRI 401: Employment,,
944,,region.,,2016,,
945,,"b.   Total number and rate of employee turnover during the reporting period, by age group, gender and",,,,
946,,region.,,,,
947,10.3,Average hours of training that the organization’s employees have undertaken during the reporting,404-1-a,GRI 404: Training and,,
948,,"period, by:",,Education 2016,,
949,,i.  Gender;,,,,
950,,ii.  Employee category.,,,,
951,10.3,Percentage of total employees by gender and by employee category who received a regular,404-3-a,GRI 404: Training and,,
952,,performance and career development review during the reporting period.,,Education 2016,,
953,10.3,"Ratio of the basic salary and remuneration of women to men for each employee category, by significant",405-2-a,GRI 405: Diversity and,,
954,,locations of operation.,,Equal Opportunity 2016,,
955,10.4,"a.  A description of the approach to tax, including:",207-1,GRI 207: Tax 2019,,
956,,"i.  whether the organization has a tax strategy and, if so, a link to this strategy if publicly available;",,,,
957,,ii.  the governance body or executive-level position within the organization that formally reviews,,,,
958,,"and approves the tax strategy, and the frequency of this review;",,,,
959,,iii.   the approach to regulatory compliance;,,,,
960,,iv.  how the approach to tax is linked to the business and sustainable development strategies of the,,,,
961,,organization.,,,,
962,10.4,"a.   A description of the tax governance and control framework, including:",207-2,GRI 207: Tax 2019,,
963,,i.   the governance body or executive-level position within the organization accountable for,,,,
964,,compliance with the tax strategy;,,,,
965,,ii.   how the approach to tax is embedded within the organization;,,,,
966,,"iii.  the approach to tax risks, including how risks are identified, managed, and monitored;",,,,
967,,iv.   how compliance with the tax governance and control framework is evaluated.,,,,
968,,b.   A description of the mechanisms for reporting concerns about unethical or unlawful behavior,,,,
969,,and the organization’s integrity in relation to tax.,,,,
970,,"c.   A description of the assurance process for disclosures on tax and, if applicable, a reference to",,,,
971,,"the assurance report, statement, or opinion.",,,,
972,10.4,a.  A description of the approach to stakeholder engagement and management of stakeholder,207-3,GRI 207: Tax 2019,,
973,,"concerns related to tax, including:",,,,
974,,i.  the approach to engagement with tax authorities;,,,,
975,,ii.   the approach to public policy advocacy on tax;,,,,
976,,"iii.  the processes for collecting and considering the views and concerns of stakeholders, including",,,,
977,,external stakeholders.,,,,
978,10.4,a.   All tax jurisdictions where the entities included in the organization’s audited consolidated,207-4,GRI 207: Tax 2019,,
979,,"financial statements, or in the financial information filed on public record, are resident for tax",,,,
980,,purposes.,,,,
981,,b.   For each tax jurisdiction reported in Disclosure 207-4-a:,,,,
982,,i.  Names of the resident entities;,,,,
983,,ii.  Primary activities of the organization;,,,,
984,,"iii.  Number of employees, and the basis of calculation of this number;",,,,
985,,iv.  Revenues from third-party sales;,,,,
986,,v.  Revenues from intra-group transactions with other tax jurisdictions;,,,,
987,,vi.  Profit/loss before tax;,,,,
988,,vii.  Tangible assets other than cash and cash equivalents;,,,,
989,,viii.  Corporate income tax paid on a cash basis;,,,,
990,,ix.  Corporate income tax accrued on profit/loss;,,,,
991,,x.  Reasons for the difference between corporate income tax accrued on profit/loss and the tax due,,,,
992,,if the statutory tax rate is applied to profit/loss before tax.,,,,
993,,c. The time period covered by the information reported in Disclosure 207-4,,,,
994,11.2,a.  Extent of development of significant infrastructure investments and services supported.,203-1,GRI 203: Indirect,,
995,,"b.  Current or expected impacts on communities and local economies, including positive and negative",,Economic Impacts 2016,,
996,,impacts where relevant.,,,,
997,,"c.   Whether these investments and services are commercial, in-kind, or pro bono engagements.",,,,
998,11.6,"a.  For the organization’s significant actual and potential waste-related impacts, a description of:",306-1,GRI 306: Waste 2020,,
999,,"i.  the inputs, activities, and outputs that lead or could lead to these impacts;",,,,
1000,,ii.  whether these impacts relate to waste generated in the organization’s own activities or to waste,,,,
1001,,generated upstream or downstream in its value chain.,,,,
1002,11.6,"Actions, including circularity measures, taken to prevent waste generation in the organization’s own",306-2-a,GRI 306: Waste 2020,,
1003,,"activities and upstream and downstream in its value chain, and to manage significant impacts from",,,,
1004,,waste generated.,,,,
1005,11.6,"If the waste generated by the organization in its own activities is managed by a third party, a description",306-2-b,GRI 306: Waste 2020,,
1006,,of the processes used to determine whether the third party manages the waste in line with contractual or,,,,
1007,,legislative obligations.,,,,
1008,11.6,The processes used to collect and monitor waste-related data.,306-2-c,GRI 306: Waste 2020,,
1009,11.6,"Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition",306-3-a,GRI 306: Waste 2020,,
1010,,of the waste.,,,,
1011,11.6,"Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition",306-4-a,GRI 306: Waste 2020,,
1012,,of the waste.,,,,
1013,11.6,"Total weight of hazardous waste diverted from disposal in metric tons, and a breakdown of this total by",306-4-b,GRI 306: Waste 2020,,
1014,,the following recovery operations:,,,,
1015,,i.  Preparation for reuse;,,,,
1016,,ii.  Recycling;,,,,
1017,,iii.  Other recovery operations.,,,,
1018,11.6,"Total weight of non-hazardous waste diverted from disposal in metric tons, and a breakdown of this total",306-4-c,GRI 306: Waste 2020,,
1019,,by the following recovery operations:,,,,
1020,,i.  Preparation for reuse;,,,,
1021,,ii.  Recycling;,,,,
1022,,iii.  Other recovery operations.,,,,
