,Target,Available Business Disclosures,Source
162,12.4,"A breakdown of the total weight in metric tons of hazardous waste and of non-hazardous waste diverted, 
from disposal:, 
i.  onsite;, 
ii.  offsite.","GRI 306: Waste 2020, 306-4-d"
163,12.4,"Total weight of waste directed to disposal in metric tons, and a breakdown of this total by composition of, 
the waste.","GRI 306: Waste 2020, 306-5-a"
164,12.4,"Total weight of hazardous waste directed to disposal in metric tons, and a breakdown of this total by the, 
following disposal operations:, 
i.  Incineration (with energy recovery);, 
ii.  Incineration (without energy recovery);, 
iii.  Landfilling;, 
iv.  Other disposal operations.","GRI 306: Waste 2020, 306-5-b"
165,12.4,"Total weight of non-hazardous waste directed to disposal in metric tons, and a breakdown of this total by, 
the following disposal operations:, 
i.  Incineration (with energy recovery);, 
ii.  Incineration (without energy recovery);, 
iii.  Landfilling;, 
iv.  Other disposal operations.","GRI 306: Waste 2020, 306-5-c"
166,12.4,"For each disposal operation listed in Disclosures 306-5-b and 306-5-c, a breakdown of the total weight in, 
metric tons of hazardous waste and of non-hazardous waste directed to disposal:, 
i.  onsite;, 
ii.  offsite.","GRI 306: Waste 2020, 306-5-d"
167,12.5,Programs and progress relating to materials stewardship,"G4 Sector Disclosure 2010, Former"
168,12.5,Programs and progress relating to materials stewardship,"G4 Sector Disclosure 2010, MM11"
169,12.5,"Total amounts of overburden, rock, tailings, and sludges and their associated risks","G4 Sector Disclosure 2010, MM3"
170,12.5,Aircraft and pavement de-icing/anti-icing fluid used and treated by m3 and/or metric tonnes,"G4 Sector Disclosure 2011, AO6"
171,12.5,Type and sustainability performance of sourcing initiatives,"G4 Sector Disclosure 2012, EO9"
172,12.5,Volume of flared and vented hydrocarbon,"G4 Sector Disclosure 2012, OG6"
173,12.5,Amount of drilling waste (drill mud and cuttings) and strategies for treatment and disposal,"G4 Sector Disclosure 2012, OG7"
174,12.5,"Percentage of recycled input materials used to manufacture the organization’s primary products and, 
services.","GRI 301: Materials 2016, 301-2-a"
175,12.5,Percentage of reclaimed products and their packaging materials for each product category.,"GRI 301: Materials 2016, 301-3-a"
176,12.5,"Total weight of hazardous waste, with a breakdown by the following disposal methods where applicable:, 
i.  Reuse, 
ii.  Recycling, 
iii.  Composting, 
iv.  Recovery, including energy recovery, 
v.  Incineration (mass burn), 
vi.  Deep well injection, 
vii.  Landfill, 
viii.  On-site storage, 
ix.  Other (to be specified by the organization)","GRI 306: Waste 2016, 306-2-a"
177,12.5,"Total weight of non-hazardous waste, with a breakdown by the following disposal methods, 
where applicable:, 
i.  Reuse, 
ii.  Recycling, 
iii.  Composting, 
iv.  Recovery, including energy recovery, 
v.  Incineration (mass burn), 
vi.  Deep well injection, 
vii.  Landfill, 
viii.  On-site storage, 
ix.  Other (to be specified by the organization)","GRI 306: Waste 2016, 306-2-b"
178,12.5,"a.  For the organization’s significant actual and potential waste-related impacts, a description of:, 
i.  the inputs, activities, and outputs that lead or could lead to these impacts;, 
ii.   whether these impacts relate to waste generated in the organization’s own activities or to waste, 
generated upstream or downstream in its value chain.","GRI 306: Waste 2020, 306-1"
179,12.5,"Actions, including circularity measures, taken to prevent waste generation in the organization’s own, 
activities and upstream and downstream in its value chain, and to manage significant impacts from, 
waste generated.","GRI 306: Waste 2020, 306-2-a"
180,12.5,"If the waste generated by the organization in its own activities is managed by a third party, a description, 
of the processes used to determine whether the third party manages the waste in line with contractual or, 
legislative obligations.","GRI 306: Waste 2020, 306-2-b"
181,12.5,The processes used to collect and monitor waste-related data.,"GRI 306: Waste 2020, 306-2-c"
182,12.5,"Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition, 
of the waste.","GRI 306: Waste 2020, 306-3-a"
183,12.5,"Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition, 
of the waste.","GRI 306: Waste 2020, 306-4-a"
184,12.5,"Total weight of hazardous waste diverted from disposal in metric tons, and a breakdown of this total by, 
the following recovery operations:, 
i.  Preparation for reuse;, 
ii.  Recycling;, 
iii.  Other recovery operations.","GRI 306: Waste 2020, 306-4-b"
185,12.5,"Total weight of non-hazardous waste diverted from disposal in metric tons, and a breakdown of this total, 
by the following recovery operations:, 
i.  Preparation for reuse;, 
ii.  Recycling;, 
iii.  Other recovery operations.","GRI 306: Waste 2020, 306-4-c"
186,12.5,"A breakdown of the total weight in metric tons of hazardous waste and of non-hazardous waste diverted, 
from disposal:, 
i.  onsite;, 
ii.  offsite.","GRI 306: Waste 2020, 306-4-d"
187,12.5,"Total weight of waste directed to disposal in metric tons, and a breakdown of this total by composition of, 
the waste.","GRI 306: Waste 2020, 306-5-a"
188,12.5,"Total weight of hazardous waste directed to disposal in metric tons, and a breakdown of this total by the, 
following disposal operations:, 
i.  Incineration (with energy recovery);, 
ii.  Incineration (without energy recovery);, 
iii.  Landfilling;, 
iv.  Other disposal operations.","GRI 306: Waste 2020, 306-5-b"
189,12.5,"Total weight of non-hazardous waste directed to disposal in metric tons, and a breakdown of this total by, 
the following disposal operations:, 
i.  Incineration (with energy recovery);, 
ii.  Incineration (without energy recovery);, 
iii.  Landfilling;, 
iv.  Other disposal operations.","GRI 306: Waste 2020, 306-5-c"
190,12.5,"For each disposal operation listed in Disclosures 306-5-b and 306-5-c, a breakdown of the total weight in, 
metric tons of hazardous waste and of non-hazardous waste directed to disposal:, 
i.  onsite;, 
ii.  offsite.","GRI 306: Waste 2020, 306-5-d"
191,12.8,a.  Whether each of the following types of information is required by the organization’s procedures for,"GRI 417: Marketing and, 417-1"
192,12.8,"product and service information and labeling:, 
i.   The sourcing of components of the product or service;, 
ii.  Content, particularly with regard to substances that might produce an environmental or social, 
impact;, 
iii.   Safe use of the product or service;, 
iv.  Disposal of the product and environmental or social impacts;, 
v.   Other (explain)., 
b.   Percentage of significant product or service categories covered by and assessed for compliance with, 
such procedures.","Labeling 2016, 417-1"
193,13.1,Average generation efficiency of thermal plants by energy source and by regulatory regime,"G4 Sector Disclosure 2009, EU11"
194,13.1,Transmission and distribution losses as a percentage of total energy,"G4 Sector Disclosure 2009, EU12"
195,13.1,"Allocation of CO2e emissions allowances or equivalent, broken down by carbon trading framework","G4 Sector Disclosure 2009, EU5"
196,13.1,"Demand-side management programs including residential, commercial, institutional and industrial, 
programs","G4 Sector Disclosure 2009, Former EU7"
197,13.1,Programs and progress relating to materials stewardship,"G4 Sector Disclosure 2010, MM11"
198,13.1,Building energy intensity,"G4 Sector Disclosure 2011, CRE1"
199,13.1,Greenhouse gas emissions intensity from buildings,"G4 Sector Disclosure 2011, CRE3"
200,13.1,Greenhouse gas emissions intensity from new construction and redevelopment activity,"G4 Sector Disclosure 2011, CRE4"
201,13.1,"Type and number of sustainability certification, rating and labeling schemes for new construction,, 
management, occupation and redevelopment","G4 Sector Disclosure 2011, CRE8"
202,13.1,Volume of flared and vented hydrocarbon,"G4 Sector Disclosure 2012, OG6"
203,13.1,Risks and opportunities posed by climate change that have the potential to generate substantive,"GRI 201: Economic, 201-2-a"
204,13.1,"a.   Total fuel consumption within the organization from non-renewable sources, in joules or multiples,, 
and including fuel types used., 
b.  Total fuel consumption within the organization from renewable sources, in joules or multiples, and, 
including fuel types used., 
c.  In joules, watt-hours or multiples, the total:, 
i.   electricity consumption, 
ii.  heating consumption, 
iii.  cooling consumption, 
iv.  steam consumption, 
d.  In joules, watt-hours or multiples, the total:, 
i.  electricity sold, 
ii.  heating sold, 
iii.   cooling sold, 
iv.   steam sold, 
e.   Total energy consumption within the organization, in joules or multiples., 
f.   Standards, methodologies, assumptions, and/or calculation tools used., 
g.   Source of the conversion factors used.","GRI 302: Energy 2016, 302-1"
205,13.1,"Energy consumption outside of the organization, in joules or multiples.","GRI 302: Energy 2016, 302-2-a"
206,13.1,Energy intensity ratio for the organization.,"GRI 302: Energy 2016, 302-3-a"
207,13.1,"Amount of reductions in energy consumption achieved as a direct result of conservation and efficiency, 
initiatives, in joules or multiples.","GRI 302: Energy 2016, 302-4-a"
208,13.1,"Reductions in energy requirements of sold products and services achieved during the reporting period,, 
in joules or multiples.","GRI 302: Energy 2016, 302-5-a"
209,13.1,"a.   Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent., 
b.   Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all., 
c.  Biogenic CO2 emissions in metric tons of CO2 equivalent.","GRI 305: Emissions 2016, 305-1"
210,13.1,"a. Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent., 
b. If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2, 
equivalent., 
c. If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or, 
all.","GRI 305: Emissions 2016, 305-2"
211,13.1,"a.  Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent., 
b.   If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,, 
or all., 
c.   Biogenic CO2 emissions in metric tons of CO2 equivalent., 
d.  Other indirect (Scope 3) GHG emissions categories and activities included in the calculation.","GRI 305: Emissions 2016, 305-3"
212,13.1,GHG emissions intensity ratio for the organization.,"GRI 305: Emissions 2016, 305-4-a"
213,13.1,"GHG emissions reduced as a direct result of reduction initiatives, in metric tons of CO2 equivalent.","GRI 305: Emissions 2016, 305-5-a"
214,13.1,"changes in operations, revenue, or expenditure, including:, 
i.   A description of the risk or opportunity and its classification as either physical, regulatory, or, 
other;, 
ii.  A description of the impact associated with the risk or opportunity;, 
iii.  The financial implications of the risk or opportunity before action is taken;, 
iv.  The methods used to manage the risk or opportunity;, 
v.   The costs of actions taken to manage the risk or opportunity.","Performance 2016, 201-2-a"
215,14.1,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or, 
rehabilitated","G4 Sector Disclosure 2010, MM1"
216,14.1,"Land remediated and in need of remediation for the existing or intended land use, according to, 
applicable legal designations","G4 Sector Disclosure 2011, CRE5"
217,14.1,Volume and disposal of formation or produced water,"G4 Sector Disclosure 2012, OG5"
218,14.2,Biodiversity of offset habitats compared to the biodiversity of the affected areas,"G4 Sector Disclosure 2009, EU13"
219,14.2,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or, 
rehabilitated","G4 Sector Disclosure 2010, MM1"
220,14.2,"The number and percentage of total sites identified as requiring biodiversity management plans, 
according to stated criteria, and the number (percentage) of those sites with plans in place","G4 Sector Disclosure 2010, MM2"
221,14.2,"Land remediated and in need of remediation for the existing or intended land use, according to, 
applicable legal designations","G4 Sector Disclosure 2011, CRE5"
222,14.2,"Number and percentage of significant operating sites in which biodiversity risk has been assessed and, 
monitored","G4 Sector Disclosure 2012, OG4"
223,14.2,"For each operational site owned, leased, managed in, or adjacent to, protected areas and areas of high, 
biodiversity value outside protected areas, the following information:, 
i.  Geographic location;, 
ii.   Subsurface and underground land that may be owned, leased, or managed by the organization;, 
iii.   Position in relation to the protected area (in the area, adjacent to, or containing portions of the, 
protected area) or the high biodiversity value area outside protected areas;, 
iv.   Type of operation (office, manufacturing or production, or extractive);, 
v.  Size of operational site in km2 (or another unit, if appropriate);, 
vi.  Biodiversity value characterized by the attribute of the protected area or area of high biodiversity, 
value outside the protected area (terrestrial, freshwater, or maritime ecosystem);, 
vii.Biodiversity value characterized by listing of protected status (such as IUCN Protected Area, 
Management Categories, Ramsar Convention, national legislation).","GRI 304: Biodiversity 2016, 304-1-a"
224,14.2,"a.  Nature of significant direct and indirect impacts on biodiversity with reference to one or more of the, 
following:, 
i.   Construction or use of manufacturing plants, mines, and transport infrastructure;, 
ii.  Pollution (introduction of substances that do not naturally occur in the habitat from point and, 
non-point sources);, 
iii.  Introduction of invasive species, pests, and pathogens;, 
iv.   Reduction of species;, 
v.   Habitat conversion;, 
vi.  Changes in ecological processes outside the natural range of variation (such as salinity or, 
changes in groundwater level)., 
b.  Significant direct and indirect positive and negative impacts with reference to the following:, 
i.   Species affected;, 
ii.  Extent of areas impacted;, 
iii.  Duration of impacts;, 
iv.   Reversibility or irreversibility of the impacts.","GRI 304: Biodiversity 2016, 304-2"
225,14.2,"Size and location of all habitat areas protected or restored, and whether the success of the restoration, 
measure was or is approved by independent external professionals.","GRI 304: Biodiversity 2016, 304-3-a"
226,14.2,"Whether partnerships exist with third parties to protect or restore habitat areas distinct from where the, 
organization has overseen and implemented restoration or protection measures.","GRI 304: Biodiversity 2016, 304-3-b"
227,14.2,"Total number of IUCN Red List species and national conservation list species with habitats in areas, 
affected by the operations of the organization, by level of extinction risk:, 
i.  Critically endangered, 
ii.  Endangered, 
iii.  Vulnerable, 
iv.  Near threatened, 
v.  Least concern","GRI 304: Biodiversity 2016, 304-4-a"
228,14.3,Average generation efficiency of thermal plants by energy source and by regulatory regime,"G4 Sector Disclosure 2009, EU11"
229,14.3,Transmission and distribution losses as a percentage of total energy,"G4 Sector Disclosure 2009, EU12"
230,14.3,Net energy output broken down by primary energy source and by regulatory regime,"G4 Sector Disclosure 2009, EU2"
231,14.3,"Allocation of CO2e emissions allowances or equivalent, broken down by carbon trading framework","G4 Sector Disclosure 2009, EU5"
232,14.3,Greenhouse gas emissions intensity from buildings,"G4 Sector Disclosure 2011, CRE3"
233,14.3,Greenhouse gas emissions intensity from new construction and redevelopment activity,"G4 Sector Disclosure 2011, CRE4"
234,14.3,Volume of flared and vented hydrocarbon,"G4 Sector Disclosure 2012, OG6"
235,14.3,"a.   Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent., 
b.  Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all., 
c.   Biogenic CO2 emissions in metric tons of CO2 equivalent., 
d.   Base year for the calculation, if applicable, including:, 
i.  the rationale for choosing it;, 
ii.   emissions in the base year;, 
iii.   the context for any significant changes in emissions that triggered recalculations of base year, 
emissions., 
e.   Source of the emission factors and the global warming potential (GWP) rates used, or a reference to, 
the GWP source., 
f.  Consolidation approach for emissions; whether equity share, financial control, or operational control., 
g.   Standards, methodologies, assumptions, and/or calculation tools used.","GRI 305: Emissions 2016, 305-1"
236,14.3,"a.   Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent., 
b.   If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2, 
equivalent., 
c.  If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,, 
or all., 
d.   Base year for the calculation, if applicable, including:, 
i.  the rationale for choosing it;, 
ii.  emissions in the base year;, 
iii.  the context for any significant changes in emissions that triggered recalculations of base year, 
emissions., 
e.  Source of the emission factors and the global warming potential (GWP) rates used, or a reference to, 
the GWP source., 
f.   Consolidation approach for emissions; whether equity share, financial control, or operational control., 
g.  Standards, methodologies, assumptions, and/or calculation tools used.","GRI 305: Emissions 2016, 305-2"
237,14.3,"a.   Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent., 
b.   If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,, 
or all., 
c.   Biogenic CO2 emissions in metric tons of CO2 equivalent., 
d.  Other indirect (Scope 3) GHG emissions categories and activities included in the calculation., 
e.   Base year for the calculation, if applicable, including:, 
i.  the rationale for choosing it;, 
ii.  emissions in the base year;, 
iii.  the context for any significant changes in emissions that triggered recalculations of base year, 
emissions., 
f.  Source of the emission factors and the global warming potential (GWP) rates used, or a reference to, 
the GWP source., 
g.  Standards, methodologies, assumptions, and/or calculation tools used.","GRI 305: Emissions 2016, 305-3"
238,14.3,GHG emissions intensity ratio for the organization.,"GRI 305: Emissions 2016, 305-4-a"
239,14.3,"GHG emissions reduced as a direct result of reduction initiatives, in metric tons of CO2 equivalent.","GRI 305: Emissions 2016, 305-5-a"
240,14.3,"a.  Significant air emissions, in kilograms or multiples, for each of the following:, 
i.  NOX, 
ii.  SOX, 
iii.  Persistent organic pollutants (POP), 
iv.  Volatile organic compounds (VOC), 
v.  Hazardous air pollutants (HAP), 
vi.  Particulate matter (PM), 
vii.  Other standard categories of air emissions identified in relevant regulations, 
b.  Source of the emission factors used., 
c.  Standards, methodologies, assumptions, and/or calculation tools used.","GRI 305: Emissions 2016, 305-7"
241,14.4,"Percentage of purchased volume which is verified as being in accordance with credible, internationally, 
recognized responsible production standards, broken down by standard","G4 Sector Disclosure 2010, FP2"
242,14.4,Type and sustainability performance of sourcing initiatives,"G4 Sector Disclosure 2012, EO9"
243,15.1,Biodiversity of offset habitats compared to the biodiversity of the affected areas,"G4 Sector Disclosure 2009, EU13"
244,15.1,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or, 
rehabilitated","G4 Sector Disclosure 2010, MM1"
245,15.1,"The number and percentage of total sites identified as requiring biodiversity management plans, 
according to stated criteria, and the number (percentage) of those sites with plans in place","G4 Sector Disclosure 2010, MM2"
246,15.1,"Land remediated and in need of remediation for the existing or intended land use, according to, 
applicable legal designations","G4 Sector Disclosure 2011, CRE5"
247,15.1,"Number and percentage of significant operating sites in which biodiversity risk has been assessed and, 
monitored","G4 Sector Disclosure 2012, OG4"
248,15.1,"For each operational site owned, leased, managed in, or adjacent to, protected areas and areas of high, 
biodiversity value outside protected areas, the following information:, 
i.  Geographic location;, 
ii.   Subsurface and underground land that may be owned, leased, or managed by the organization;, 
iii.  Position in relation to the protected area (in the area, adjacent to, or containing portions of the, 
protected area) or the high biodiversity value area outside protected areas;, 
iv.  Type of operation (office, manufacturing or production, or extractive);, 
v.   Size of operational site in km2 (or another unit, if appropriate);, 
vi.   Biodiversity value characterized by the attribute of the protected area or area of high biodiversity, 
value outside the protected area (terrestrial, freshwater, or maritime ecosystem);, 
vii.Biodiversity value characterized by listing of protected status (such as IUCN Protected Area, 
Management Categories, Ramsar Convention, national legislation).","GRI 304: Biodiversity 2016, 304-1-a"
249,15.1,"a.   Nature of significant direct and indirect impacts on biodiversity with reference to one or more of the, 
following:, 
i.  Construction or use of manufacturing plants, mines, and transport infrastructure;, 
ii.   Pollution (introduction of substances that do not naturally occur in the habitat from point and, 
non-point sources);, 
iii.   Introduction of invasive species, pests, and pathogens;, 
iv.   Reduction of species;, 
v.  Habitat conversion;, 
vi.  Changes in ecological processes outside the natural range of variation (such as salinity or, 
changes in groundwater level)., 
b.  Significant direct and indirect positive and negative impacts with reference to the following:, 
i.   Species affected;, 
ii.   Extent of areas impacted;, 
iii.  Duration of impacts;, 
iv.   Reversibility or irreversibility of the impacts.","GRI 304: Biodiversity 2016, 304-2"
250,15.1,"a.  Size and location of all habitat areas protected or restored, and whether the success of the, 
restoration measure was or is approved by independent external professionals., 
b.   Whether partnerships exist with third parties to protect or restore habitat areas distinct from where, 
the organization has overseen and implemented restoration or protection measures., 
c.  Status of each area based on its condition at the close of the reporting period., 
d.   Standards, methodologies, and assumptions used.","GRI 304: Biodiversity 2016, 304-3"
251,15.1,"Total number of IUCN Red List species and national conservation list species with habitats in areas, 
affected by the operations of the organization, by level of extinction risk:, 
i.  Critically endangered, 
ii.  Endangered, 
iii.  Vulnerable, 
iv.  Near threatened, 
v.  Least concern","GRI 304: Biodiversity 2016, 304-4-a"
252,15.1,Total number and total volume of recorded significant spills.,"GRI 306: Waste 2016, 306-3-a"
253,15.1,Impacts of significant spills.,"GRI 306: Waste 2016, 306-3-b"
254,15.1,"The following additional information for each spill that was reported in the organization’s financial, 
statements:, 
i.  Location of spill;, 
ii.  Volume of spill;, 
iii.   Material of spill, categorized by: oil spills (soil or water surfaces), fuel spills (soil or water, 
surfaces), spills of wastes (soil or water surfaces), spills of chemicals (mostly soil or water, 
surfaces), and other (to be specified by the organization).","GRI 306: Waste 2016, 306-3-c"
255,15.1,"Water bodies and related habitats that are significantly affected by water discharges and/or runoff,, 
including information on:, 
i.  The size of the water body and related habitat;, 
ii.   Whether the water body and related habitat is designated as a nationally or internationally, 
protected area;, 
iii.  The biodiversity value, such as total number of protected species.","GRI 306: Waste 2016, 306-5-a"
256,15.2,"Allocation of CO2e emissions allowances or equivalent, broken down by carbon trading framework","G4 Sector Disclosure 2009, EU5"
257,15.2,"Percentage of purchased volume which is verified as being in accordance with credible, internationally, 
recognized responsible production standards, broken down by standard","G4 Sector Disclosure 2010, FP2"
258,15.2,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or, 
rehabilitated","G4 Sector Disclosure 2010, MM1"
259,15.2,Volume of biofuels produced and purchased meeting sustainability criteria,"G4 Sector Disclosure 2010, OG14"
260,15.2,Greenhouse gas emissions intensity from buildings,"G4 Sector Disclosure 2011, CRE3"
261,15.2,Greenhouse gas emissions intensity from new construction and redevelopment activity,"G4 Sector Disclosure 2011, CRE4"
262,15.2,"Land remediated and in need of remediation for the existing or intended land use, according to, 
applicable legal designations","G4 Sector Disclosure 2011, CRE5"
263,15.2,Type and sustainability performance of sourcing initiatives,"G4 Sector Disclosure 2012, EO9"
264,15.2,"a.   Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent., 
b.  Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all., 
c.   Biogenic CO2 emissions in metric tons of CO2 equivalent., 
d.  Base year for the calculation, if applicable, including:, 
i.   the rationale for choosing it;, 
ii.  emissions in the base year;, 
iii.  the context for any significant changes in emissions that triggered recalculations of base year, 
emissions., 
e.  Source of the emission factors and the global warming potential (GWP) rates used, or a reference to, 
the GWP source., 
f.   Consolidation approach for emissions; whether equity share, financial control, or operational control., 
g.   Standards, methodologies, assumptions, and/or calculation tools used.","GRI 305: Emissions 2016, 305-1"
265,15.2,"a.   Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent., 
b.  If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2, 
equivalent., 
c.  If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,, 
or all., 
d.   Base year for the calculation, if applicable, including:, 
i.  the rationale for choosing it;, 
ii.  emissions in the base year;, 
iii.  the context for any significant changes in emissions that triggered recalculations of base year, 
emissions., 
e.   Source of the emission factors and the global warming potential (GWP) rates used, or a reference to, 
the GWP source., 
f.  Consolidation approach for emissions; whether equity share, financial control, or operational control., 
g.   Standards, methodologies, assumptions, and/or calculation tools used.","GRI 305: Emissions 2016, 305-2"
266,15.2,"a.   Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent., 
b.   If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,, 
or all., 
c.   Biogenic CO2 emissions in metric tons of CO2 equivalent., 
d.   Other indirect (Scope 3) GHG emissions categories and activities included in the calculation., 
e.  Base year for the calculation, if applicable, including:, 
i.  the rationale for choosing it;, 
ii.  emissions in the base year;, 
iii.  the context for any significant changes in emissions that triggered recalculations of base year, 
emissions., 
f.   Source of the emission factors and the global warming potential (GWP) rates used, or a reference to, 
the GWP source., 
g.  Standards, methodologies, assumptions, and/or calculation tools used.","GRI 305: Emissions 2016, 305-3"
267,15.2,GHG emissions intensity ratio for the organization,"GRI 305: Emissions 2016, 305-4-a"
268,15.2,"GHG emissions reduced as a direct result of reduction initiatives, in metric tons of CO2 equivalent.","GRI 305: Emissions 2016, 305-5-a"
269,15.2,"a.  Significant air emissions, in kilograms or multiples, for each of the following:, 
i.  NOX, 
ii.  SOX, 
iii.  Persistent organic pollutants (POP), 
iv.  Volatile organic compounds (VOC), 
v.  Hazardous air pollutants (HAP), 
vi.  Particulate matter (PM), 
vii.  Other standard categories of air emissions identified in relevant regulations, 
b.   Source of the emission factors used., 
c.   Standards, methodologies, assumptions, and/or calculation tools used.","GRI 305: Emissions 2016, 305-7"
270,15.3,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or, 
rehabilitated","G4 Sector Disclosure 2010, MM1"
271,15.3,"Land remediated and in need of remediation for the existing or intended land use, according to, 
applicable legal designations","G4 Sector Disclosure 2011, CRE5"
272,15.4,Biodiversity of offset habitats compared to the biodiversity of the affected areas,"G4 Sector Disclosure 2009, EU13"
273,15.4,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or, 
rehabilitated","G4 Sector Disclosure 2010, MM1"
274,15.4,"The number and percentage of total sites identified as requiring biodiversity management plans, 
according to stated criteria, and the number (percentage) of those sites with plans in place","G4 Sector Disclosure 2010, MM2"
275,15.4,"Land remediated and in need of remediation for the existing or intended land use, according to, 
applicable legal designations","G4 Sector Disclosure 2011, CRE5"
276,15.4,Volume of biofuels produced and purchased meeting sustainability criteria,"G4 Sector Disclosure 2012, OG14"
277,15.4,"Number and percentage of significant operating sites in which biodiversity risk has been assessed and, 
monitored","G4 Sector Disclosure 2012, OG4"
278,15.5,Biodiversity of offset habitats compared to the biodiversity of the affected areas,"G4 Sector Disclosure 2009, EU13"
279,15.5,"Percentage of purchased volume which is verified as being in accordance with credible, internationally, 
recognized responsible production standards, broken down by standard","G4 Sector Disclosure 2010, FP2"
280,15.5,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or, 
rehabilitated","G4 Sector Disclosure 2010, MM1"
281,15.5,"The number and percentage of total sites identified as requiring biodiversity management plans, 
according to stated criteria, and the number (percentage) of those sites with plans in place","G4 Sector Disclosure 2010, MM2"
282,15.5,"Land remediated and in need of remediation for the existing or intended land use, according to, 
applicable legal designations","G4 Sector Disclosure 2011, CRE5"
283,15.5,Type and sustainability performance of sourcing initiatives,"G4 Sector Disclosure 2012, EO9"
284,15.5,Volume of biofuels produced and purchased meeting sustainability criteria,"G4 Sector Disclosure 2012, OG14"
285,15.5,"Number and percentage of significant operating sites in which biodiversity risk has been assessed and, 
monitored","G4 Sector Disclosure 2012, OG4"
286,15.5,"a.   For each operational site owned, leased, managed in, or adjacent to, protected areas and areas of, 
high biodiversity value outside protected areas, the following information:, 
i.   Geographic location;, 
ii.  Subsurface and underground land that may be owned, leased, or managed by the organization;, 
iii.   Position in relation to the protected area (in the area, adjacent to, or containing portions of the, 
protected area) or the high biodiversity value area outside protected areas;, 
iv.   Type of operation (office, manufacturing or production, or extractive);, 
v.   Size of operational site in km2 (or another unit, if appropriate);, 
vi.  Biodiversity value characterized by the attribute of the protected area or area of high biodiversity, 
value outside the protected area (terrestrial, freshwater, or maritime ecosystem);, 
vii.Biodiversity value characterized by listing of protected status (such as IUCN Protected Area, 
Management Categories, Ramsar Convention, national legislation).","GRI 304: Biodiversity 2016, 304-1-a"
287,15.5,"a.   Nature of significant direct and indirect impacts on biodiversity with reference to one or more of the, 
following:, 
i.  Construction or use of manufacturing plants, mines, and transport infrastructure;, 
ii.   Pollution (introduction of substances that do not naturally occur in the habitat from point and, 
non-point sources);, 
iii.  Introduction of invasive species, pests, and pathogens;, 
iv.  Reduction of species;, 
v.   Habitat conversion;, 
vi.  Changes in ecological processes outside the natural range of variation (such as salinity or, 
changes in groundwater level)., 
b.  Significant direct and indirect positive and negative impacts with reference to the following:, 
i.  Species affected;, 
ii.  Extent of areas impacted;, 
iii.   Duration of impacts;, 
iv.   Reversibility or irreversibility of the impacts.","GRI 304: Biodiversity 2016, 304-2"
288,15.5,"a.   Size and location of all habitat areas protected or restored, and whether the success of the, 
restoration measure was or is approved by independent external professionals., 
b.   Whether partnerships exist with third parties to protect or restore habitat areas distinct from where, 
the organization has overseen and implemented restoration or protection measures., 
c.  Status of each area based on its condition at the close of the reporting period., 
d.  Standards, methodologies, and assumptions used.","GRI 304: Biodiversity 2016, 304-3"
289,15.5,"Total number of IUCN Red List species and national conservation list species with habitats in areas, 
affected by the operations of the organization, by level of extinction risk:, 
i.  Critically endangered, 
ii.  Endangered, 
iii.  Vulnerable, 
iv.  Near threatened, 
v.  Least concern","GRI 304: Biodiversity 2016, 304-4-a"
290,15.6,"Percentage and total of animals raised and/or processed, by species and breed type","G4 Sector Disclosure 2010, FP9"
291,16.1,Percentage of new suppliers that were screened using social criteria,"Assessment 2016, 414-1-a"
