,Target,Available Business Disclosures,Disclosure
173,13.1,"a.   Total fuel consumption within the organization from non-renewable sources, in joules or multiples,, 
and including fuel types used., 
b.  Total fuel consumption within the organization from renewable sources, in joules or multiples, and, 
including fuel types used., 
c.  In joules, watt-hours or multiples, the total:, 
i.   electricity consumption, 
ii.  heating consumption, 
iii.  cooling consumption, 
iv.  steam consumption, 
d.  In joules, watt-hours or multiples, the total:, 
i.  electricity sold, 
ii.  heating sold, 
iii.   cooling sold, 
iv.   steam sold, 
e.   Total energy consumption within the organization, in joules or multiples., 
f.   Standards, methodologies, assumptions, and/or calculation tools used., 
g.   Source of the conversion factors used.",302-1
174,13.1,"Energy consumption outside of the organization, in joules or multiples.",302-2-a
175,13.1,Energy intensity ratio for the organization.,302-3-a
176,13.1,"Amount of reductions in energy consumption achieved as a direct result of conservation and efficiency, 
initiatives, in joules or multiples.",302-4-a
177,13.1,"Reductions in energy requirements of sold products and services achieved during the reporting period,, 
in joules or multiples.",302-5-a
178,13.1,"a.   Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent., 
b.   Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all., 
c.  Biogenic CO2 emissions in metric tons of CO2 equivalent.",305-1
179,13.1,"a. Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent., 
b. If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2, 
equivalent., 
c. If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or, 
all.",305-2
180,13.1,"a.  Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent., 
b.   If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,, 
or all., 
c.   Biogenic CO2 emissions in metric tons of CO2 equivalent., 
d.  Other indirect (Scope 3) GHG emissions categories and activities included in the calculation.",305-3
181,13.1,GHG emissions intensity ratio for the organization.,305-4-a
182,13.1,"GHG emissions reduced as a direct result of reduction initiatives, in metric tons of CO2 equivalent.",305-5-a
183,13.1,Building energy intensity,CRE1
184,13.1,Greenhouse gas emissions intensity from buildings,CRE3
185,13.1,Greenhouse gas emissions intensity from new construction and redevelopment activity,CRE4
186,13.1,"Type and number of sustainability certification, rating and labeling schemes for new construction,, 
management, occupation and redevelopment",CRE8
187,13.1,Average generation efficiency of thermal plants by energy source and by regulatory regime,EU11
188,13.1,Transmission and distribution losses as a percentage of total energy,EU12
189,13.1,"Allocation of CO2e emissions allowances or equivalent, broken down by carbon trading framework",EU5
190,13.1,"Demand-side management programs including residential, commercial, institutional and industrial, 
programs",Former EU7
191,13.1,Programs and progress relating to materials stewardship,MM11
192,13.1,Volume of flared and vented hydrocarbon,OG6
193,14.1,"Land remediated and in need of remediation for the existing or intended land use, according to, 
applicable legal designations",CRE5
194,14.1,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or, 
rehabilitated",MM1
195,14.1,Volume and disposal of formation or produced water,OG5
196,14.2,"For each operational site owned, leased, managed in, or adjacent to, protected areas and areas of high, 
biodiversity value outside protected areas, the following information:, 
i.  Geographic location;, 
ii.   Subsurface and underground land that may be owned, leased, or managed by the organization;, 
iii.   Position in relation to the protected area (in the area, adjacent to, or containing portions of the, 
protected area) or the high biodiversity value area outside protected areas;, 
iv.   Type of operation (office, manufacturing or production, or extractive);, 
v.  Size of operational site in km2 (or another unit, if appropriate);, 
vi.  Biodiversity value characterized by the attribute of the protected area or area of high biodiversity, 
value outside the protected area (terrestrial, freshwater, or maritime ecosystem);, 
vii.Biodiversity value characterized by listing of protected status (such as IUCN Protected Area, 
Management Categories, Ramsar Convention, national legislation).",304-1-a
197,14.2,"a.  Nature of significant direct and indirect impacts on biodiversity with reference to one or more of the, 
following:, 
i.   Construction or use of manufacturing plants, mines, and transport infrastructure;, 
ii.  Pollution (introduction of substances that do not naturally occur in the habitat from point and, 
non-point sources);, 
iii.  Introduction of invasive species, pests, and pathogens;, 
iv.   Reduction of species;, 
v.   Habitat conversion;, 
vi.  Changes in ecological processes outside the natural range of variation (such as salinity or, 
changes in groundwater level)., 
b.  Significant direct and indirect positive and negative impacts with reference to the following:, 
i.   Species affected;, 
ii.  Extent of areas impacted;, 
iii.  Duration of impacts;, 
iv.   Reversibility or irreversibility of the impacts.",304-2
198,14.2,"Size and location of all habitat areas protected or restored, and whether the success of the restoration, 
measure was or is approved by independent external professionals.",304-3-a
199,14.2,"Whether partnerships exist with third parties to protect or restore habitat areas distinct from where the, 
organization has overseen and implemented restoration or protection measures.",304-3-b
200,14.2,"Total number of IUCN Red List species and national conservation list species with habitats in areas, 
affected by the operations of the organization, by level of extinction risk:, 
i.  Critically endangered, 
ii.  Endangered, 
iii.  Vulnerable, 
iv.  Near threatened, 
v.  Least concern",304-4-a
201,14.2,"Land remediated and in need of remediation for the existing or intended land use, according to, 
applicable legal designations",CRE5
202,14.2,Biodiversity of offset habitats compared to the biodiversity of the affected areas,EU13
203,14.2,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or, 
rehabilitated",MM1
204,14.2,"The number and percentage of total sites identified as requiring biodiversity management plans, 
according to stated criteria, and the number (percentage) of those sites with plans in place",MM2
205,14.2,"Number and percentage of significant operating sites in which biodiversity risk has been assessed and, 
monitored",OG4
206,14.3,"a.   Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent., 
b.  Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all., 
c.   Biogenic CO2 emissions in metric tons of CO2 equivalent., 
d.   Base year for the calculation, if applicable, including:, 
i.  the rationale for choosing it;, 
ii.   emissions in the base year;, 
iii.   the context for any significant changes in emissions that triggered recalculations of base year, 
emissions., 
e.   Source of the emission factors and the global warming potential (GWP) rates used, or a reference to, 
the GWP source., 
f.  Consolidation approach for emissions; whether equity share, financial control, or operational control., 
g.   Standards, methodologies, assumptions, and/or calculation tools used.",305-1
207,14.3,"a.   Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent., 
b.   If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2, 
equivalent., 
c.  If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,, 
or all., 
d.   Base year for the calculation, if applicable, including:, 
i.  the rationale for choosing it;, 
ii.  emissions in the base year;, 
iii.  the context for any significant changes in emissions that triggered recalculations of base year, 
emissions., 
e.  Source of the emission factors and the global warming potential (GWP) rates used, or a reference to, 
the GWP source., 
f.   Consolidation approach for emissions; whether equity share, financial control, or operational control., 
g.  Standards, methodologies, assumptions, and/or calculation tools used.",305-2
208,14.3,"a.   Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent., 
b.   If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,, 
or all., 
c.   Biogenic CO2 emissions in metric tons of CO2 equivalent., 
d.  Other indirect (Scope 3) GHG emissions categories and activities included in the calculation., 
e.   Base year for the calculation, if applicable, including:, 
i.  the rationale for choosing it;, 
ii.  emissions in the base year;, 
iii.  the context for any significant changes in emissions that triggered recalculations of base year, 
emissions., 
f.  Source of the emission factors and the global warming potential (GWP) rates used, or a reference to, 
the GWP source., 
g.  Standards, methodologies, assumptions, and/or calculation tools used.",305-3
209,14.3,GHG emissions intensity ratio for the organization.,305-4-a
210,14.3,"GHG emissions reduced as a direct result of reduction initiatives, in metric tons of CO2 equivalent.",305-5-a
211,14.3,"a.  Significant air emissions, in kilograms or multiples, for each of the following:, 
i.  NOX, 
ii.  SOX, 
iii.  Persistent organic pollutants (POP), 
iv.  Volatile organic compounds (VOC), 
v.  Hazardous air pollutants (HAP), 
vi.  Particulate matter (PM), 
vii.  Other standard categories of air emissions identified in relevant regulations, 
b.  Source of the emission factors used., 
c.  Standards, methodologies, assumptions, and/or calculation tools used.",305-7
212,14.3,Greenhouse gas emissions intensity from buildings,CRE3
213,14.3,Greenhouse gas emissions intensity from new construction and redevelopment activity,CRE4
214,14.3,Average generation efficiency of thermal plants by energy source and by regulatory regime,EU11
215,14.3,Transmission and distribution losses as a percentage of total energy,EU12
216,14.3,Net energy output broken down by primary energy source and by regulatory regime,EU2
217,14.3,"Allocation of CO2e emissions allowances or equivalent, broken down by carbon trading framework",EU5
218,14.3,Volume of flared and vented hydrocarbon,OG6
219,14.4,Type and sustainability performance of sourcing initiatives,EO9
220,14.4,"Percentage of purchased volume which is verified as being in accordance with credible, internationally, 
recognized responsible production standards, broken down by standard",FP2
221,15.1,"For each operational site owned, leased, managed in, or adjacent to, protected areas and areas of high, 
biodiversity value outside protected areas, the following information:, 
i.  Geographic location;, 
ii.   Subsurface and underground land that may be owned, leased, or managed by the organization;, 
iii.  Position in relation to the protected area (in the area, adjacent to, or containing portions of the, 
protected area) or the high biodiversity value area outside protected areas;, 
iv.  Type of operation (office, manufacturing or production, or extractive);, 
v.   Size of operational site in km2 (or another unit, if appropriate);, 
vi.   Biodiversity value characterized by the attribute of the protected area or area of high biodiversity, 
value outside the protected area (terrestrial, freshwater, or maritime ecosystem);, 
vii.Biodiversity value characterized by listing of protected status (such as IUCN Protected Area, 
Management Categories, Ramsar Convention, national legislation).",304-1-a
222,15.1,"a.   Nature of significant direct and indirect impacts on biodiversity with reference to one or more of the, 
following:, 
i.  Construction or use of manufacturing plants, mines, and transport infrastructure;, 
ii.   Pollution (introduction of substances that do not naturally occur in the habitat from point and, 
non-point sources);, 
iii.   Introduction of invasive species, pests, and pathogens;, 
iv.   Reduction of species;, 
v.  Habitat conversion;, 
vi.  Changes in ecological processes outside the natural range of variation (such as salinity or, 
changes in groundwater level)., 
b.  Significant direct and indirect positive and negative impacts with reference to the following:, 
i.   Species affected;, 
ii.   Extent of areas impacted;, 
iii.  Duration of impacts;, 
iv.   Reversibility or irreversibility of the impacts.",304-2
223,15.1,"a.  Size and location of all habitat areas protected or restored, and whether the success of the, 
restoration measure was or is approved by independent external professionals., 
b.   Whether partnerships exist with third parties to protect or restore habitat areas distinct from where, 
the organization has overseen and implemented restoration or protection measures., 
c.  Status of each area based on its condition at the close of the reporting period., 
d.   Standards, methodologies, and assumptions used.",304-3
224,15.1,"Total number of IUCN Red List species and national conservation list species with habitats in areas, 
affected by the operations of the organization, by level of extinction risk:, 
i.  Critically endangered, 
ii.  Endangered, 
iii.  Vulnerable, 
iv.  Near threatened, 
v.  Least concern",304-4-a
225,15.1,Total number and total volume of recorded significant spills.,306-3-a
226,15.1,Impacts of significant spills.,306-3-b
227,15.1,"The following additional information for each spill that was reported in the organization’s financial, 
statements:, 
i.  Location of spill;, 
ii.  Volume of spill;, 
iii.   Material of spill, categorized by: oil spills (soil or water surfaces), fuel spills (soil or water, 
surfaces), spills of wastes (soil or water surfaces), spills of chemicals (mostly soil or water, 
surfaces), and other (to be specified by the organization).",306-3-c
228,15.1,"Water bodies and related habitats that are significantly affected by water discharges and/or runoff,, 
including information on:, 
i.  The size of the water body and related habitat;, 
ii.   Whether the water body and related habitat is designated as a nationally or internationally, 
protected area;, 
iii.  The biodiversity value, such as total number of protected species.",306-5-a
229,15.1,"Land remediated and in need of remediation for the existing or intended land use, according to, 
applicable legal designations",CRE5
230,15.1,Biodiversity of offset habitats compared to the biodiversity of the affected areas,EU13
231,15.1,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or, 
rehabilitated",MM1
232,15.1,"The number and percentage of total sites identified as requiring biodiversity management plans, 
according to stated criteria, and the number (percentage) of those sites with plans in place",MM2
233,15.1,"Number and percentage of significant operating sites in which biodiversity risk has been assessed and, 
monitored",OG4
234,15.2,"a.   Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent., 
b.  Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all., 
c.   Biogenic CO2 emissions in metric tons of CO2 equivalent., 
d.  Base year for the calculation, if applicable, including:, 
i.   the rationale for choosing it;, 
ii.  emissions in the base year;, 
iii.  the context for any significant changes in emissions that triggered recalculations of base year, 
emissions., 
e.  Source of the emission factors and the global warming potential (GWP) rates used, or a reference to, 
the GWP source., 
f.   Consolidation approach for emissions; whether equity share, financial control, or operational control., 
g.   Standards, methodologies, assumptions, and/or calculation tools used.",305-1
235,15.2,"a.   Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent., 
b.  If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2, 
equivalent., 
c.  If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,, 
or all., 
d.   Base year for the calculation, if applicable, including:, 
i.  the rationale for choosing it;, 
ii.  emissions in the base year;, 
iii.  the context for any significant changes in emissions that triggered recalculations of base year, 
emissions., 
e.   Source of the emission factors and the global warming potential (GWP) rates used, or a reference to, 
the GWP source., 
f.  Consolidation approach for emissions; whether equity share, financial control, or operational control., 
g.   Standards, methodologies, assumptions, and/or calculation tools used.",305-2
236,15.2,"a.   Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent., 
b.   If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,, 
or all., 
c.   Biogenic CO2 emissions in metric tons of CO2 equivalent., 
d.   Other indirect (Scope 3) GHG emissions categories and activities included in the calculation., 
e.  Base year for the calculation, if applicable, including:, 
i.  the rationale for choosing it;, 
ii.  emissions in the base year;, 
iii.  the context for any significant changes in emissions that triggered recalculations of base year, 
emissions., 
f.   Source of the emission factors and the global warming potential (GWP) rates used, or a reference to, 
the GWP source., 
g.  Standards, methodologies, assumptions, and/or calculation tools used.",305-3
237,15.2,GHG emissions intensity ratio for the organization,305-4-a
238,15.2,"GHG emissions reduced as a direct result of reduction initiatives, in metric tons of CO2 equivalent.",305-5-a
239,15.2,"a.  Significant air emissions, in kilograms or multiples, for each of the following:, 
i.  NOX, 
ii.  SOX, 
iii.  Persistent organic pollutants (POP), 
iv.  Volatile organic compounds (VOC), 
v.  Hazardous air pollutants (HAP), 
vi.  Particulate matter (PM), 
vii.  Other standard categories of air emissions identified in relevant regulations, 
b.   Source of the emission factors used., 
c.   Standards, methodologies, assumptions, and/or calculation tools used.",305-7
240,15.2,Greenhouse gas emissions intensity from buildings,CRE3
241,15.2,Greenhouse gas emissions intensity from new construction and redevelopment activity,CRE4
242,15.2,"Land remediated and in need of remediation for the existing or intended land use, according to, 
applicable legal designations",CRE5
243,15.2,Type and sustainability performance of sourcing initiatives,EO9
244,15.2,"Allocation of CO2e emissions allowances or equivalent, broken down by carbon trading framework",EU5
245,15.2,"Percentage of purchased volume which is verified as being in accordance with credible, internationally, 
recognized responsible production standards, broken down by standard",FP2
246,15.2,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or, 
rehabilitated",MM1
247,15.2,Volume of biofuels produced and purchased meeting sustainability criteria,OG14
248,15.3,"Land remediated and in need of remediation for the existing or intended land use, according to, 
applicable legal designations",CRE5
249,15.3,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or, 
rehabilitated",MM1
250,15.4,"Land remediated and in need of remediation for the existing or intended land use, according to, 
applicable legal designations",CRE5
251,15.4,Biodiversity of offset habitats compared to the biodiversity of the affected areas,EU13
252,15.4,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or, 
rehabilitated",MM1
253,15.4,"The number and percentage of total sites identified as requiring biodiversity management plans, 
according to stated criteria, and the number (percentage) of those sites with plans in place",MM2
254,15.4,Volume of biofuels produced and purchased meeting sustainability criteria,OG14
255,15.4,"Number and percentage of significant operating sites in which biodiversity risk has been assessed and, 
monitored",OG4
256,15.5,"a.   For each operational site owned, leased, managed in, or adjacent to, protected areas and areas of, 
high biodiversity value outside protected areas, the following information:, 
i.   Geographic location;, 
ii.  Subsurface and underground land that may be owned, leased, or managed by the organization;, 
iii.   Position in relation to the protected area (in the area, adjacent to, or containing portions of the, 
protected area) or the high biodiversity value area outside protected areas;, 
iv.   Type of operation (office, manufacturing or production, or extractive);, 
v.   Size of operational site in km2 (or another unit, if appropriate);, 
vi.  Biodiversity value characterized by the attribute of the protected area or area of high biodiversity, 
value outside the protected area (terrestrial, freshwater, or maritime ecosystem);, 
vii.Biodiversity value characterized by listing of protected status (such as IUCN Protected Area, 
Management Categories, Ramsar Convention, national legislation).",304-1-a
257,15.5,"a.   Nature of significant direct and indirect impacts on biodiversity with reference to one or more of the, 
following:, 
i.  Construction or use of manufacturing plants, mines, and transport infrastructure;, 
ii.   Pollution (introduction of substances that do not naturally occur in the habitat from point and, 
non-point sources);, 
iii.  Introduction of invasive species, pests, and pathogens;, 
iv.  Reduction of species;, 
v.   Habitat conversion;, 
vi.  Changes in ecological processes outside the natural range of variation (such as salinity or, 
changes in groundwater level)., 
b.  Significant direct and indirect positive and negative impacts with reference to the following:, 
i.  Species affected;, 
ii.  Extent of areas impacted;, 
iii.   Duration of impacts;, 
iv.   Reversibility or irreversibility of the impacts.",304-2
258,15.5,"a.   Size and location of all habitat areas protected or restored, and whether the success of the, 
restoration measure was or is approved by independent external professionals., 
b.   Whether partnerships exist with third parties to protect or restore habitat areas distinct from where, 
the organization has overseen and implemented restoration or protection measures., 
c.  Status of each area based on its condition at the close of the reporting period., 
d.  Standards, methodologies, and assumptions used.",304-3
259,15.5,"Total number of IUCN Red List species and national conservation list species with habitats in areas, 
affected by the operations of the organization, by level of extinction risk:, 
i.  Critically endangered, 
ii.  Endangered, 
iii.  Vulnerable, 
iv.  Near threatened, 
v.  Least concern",304-4-a
260,15.5,"Land remediated and in need of remediation for the existing or intended land use, according to, 
applicable legal designations",CRE5
261,15.5,Type and sustainability performance of sourcing initiatives,EO9
262,15.5,Biodiversity of offset habitats compared to the biodiversity of the affected areas,EU13
263,15.5,"Percentage of purchased volume which is verified as being in accordance with credible, internationally, 
recognized responsible production standards, broken down by standard",FP2
264,15.5,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or, 
rehabilitated",MM1
265,15.5,"The number and percentage of total sites identified as requiring biodiversity management plans, 
according to stated criteria, and the number (percentage) of those sites with plans in place",MM2
266,15.5,Volume of biofuels produced and purchased meeting sustainability criteria,OG14
267,15.5,"Number and percentage of significant operating sites in which biodiversity risk has been assessed and, 
monitored",OG4
268,15.6,"Percentage and total of animals raised and/or processed, by species and breed type",FP9
269,16.1,"a.   For all employees:, 
i.  The number of fatalities as a result of work-related ill health;, 
ii.  The number of cases of recordable work-related ill health;, 
iii.   The main types of work-related ill health., 
b.   For all workers who are not employees but whose work and/or workplace is controlled by the, 
organization:, 
i.  The number of fatalities as a result of work-related ill health;, 
ii.  The number of cases of recordable work-related ill health;, 
iii.  The main types of work-related ill health., 
c.   The work-related hazards that pose a risk of ill health, including:, 
i.  how these hazards have been determined;, 
ii.  which of these hazards have caused or contributed to cases of ill health during the reporting, 
period;, 
iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of, 
controls., 
d.   Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
e.   Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.",403-10
270,16.1,"Report the information for all employees about:, 
i.   The number and rate of fatalities as a result of work-related injury;, 
ii.   The number and rate of high-consequence work-related injuries (excluding fatalities);, 
iii.  The number and rate of recordable work-related injuries;, 
iv.   The main types of work-related injury;, 
v.   The number of hours worked., 
Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.",403-9-a
271,16.1,"Report the information for all workers who are not employees but whose work and/or workplace is, 
controlled by the organization:, 
i.  The number and rate of fatalities as a result of work-related injury;, 
ii.   The number and rate of high-consequence work-related injuries (excluding fatalities);, 
iii.   The number and rate of recordable work-related injuries;, 
iv.  The main types of work-related injury;, 
v.  The number of hours worked., 
Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.",403-9-b
272,16.1,"The work-related hazards that pose a risk of high-consequence injury, including:, 
i.   how these hazards have been determined;, 
ii.   which of these hazards have caused or contributed to high-consequence injuries during the, 
reporting period;, 
iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of, 
controls., 
Any actions taken or underway to eliminate other work-related hazards and minimize risks using the, 
hierarchy of controls.",403-9-c
273,16.1,"a.   Percentage of security personnel who have received formal training in the organization’s human, 
rights policies or specific procedures and their application to security., 
b.   Whether training requirements also apply to third-party organizations providing security personnel.",410-1
274,16.1,"Percentage of new suppliers that were screened using social criteria, 
Percentage of new suppliers that were screened using social criteria",414-1-a
275,16.1,"a.   Number of suppliers assessed for social impacts., 
b.   Number of suppliers identified as having significant actual and potential negative social impacts., 
c.   Significant actual and potential negative social impacts identified in the supply chain., 
d.   Percentage of suppliers identified as having significant actual and potential negative social impacts, 
with which improvements were agreed upon as a result of assessment., 
e.   Percentage of suppliers identified as having significant actual and potential negative social impacts, 
with which relationships were terminated as a result of assessment, and why.",414-2
276,16.1,"a.   Total number of substantiated complaints received concerning breaches of customer privacy,, 
categorized by:, 
i.  complaints received from outside parties and substantiated by the organization;, 
ii.   complaints from regulatory bodies., 
b.   Total number of identified leaks, thefts, or losses of customer data., 
c.   If the organization has not identified any substantiated complaints, a brief statement of this fact is, 
sufficient.",418-1
277,16.1,"Nature and extent of knowledge transfer of best practice, and lessons learned",EO12
278,16.1,"Expressions of dissent by type, issue, scale and response",EO4
279,16.1,"Actions taken to improve performance in relation to content dissemination issues (accessibility and, 
protection of vulnerable audiences and informed decision making) and results obtained",M4
280,16.1,"Number and nature of responses (feedback/complaints) related to content dissemination, including, 
protection of vulnerable audiences and informed decision making and accessibility, and processes for, 
addressing these responses",M5
281,16.1,Methods to interact with audiences and results,M6
282,16.2,"a.   Operations and suppliers considered to have significant risk for incidents of:, 
i.  child labor;, 
ii.  young workers exposed to hazardous work., 
b.   Operations and suppliers considered to have significant risk for incidents of child labor either in, 
terms of:, 
i.   type of operation (such as manufacturing plant) and supplier;, 
ii.  countries or geographic areas with operations and suppliers considered at risk., 
c.   Measures taken by the organization in the reporting period intended to contribute to the effective, 
abolition of child labor.",408-1
283,16.3,"A description of the organization’s values, principles, standards, and norms of behavior., 
A description of the organization’s values, principles, standards, and norms of behavior.",102-16-a
284,16.3,"A description of internal and external mechanisms for:, 
i.  Seeking advice about ethical and lawful behavior, and organizational integrity;, 
ii.  Reporting concerns about unethical or unlawful behavior, and organizational integrity",102-17-a
285,16.3,"a.   Number of legal actions pending or completed during the reporting period regarding anti-competitive, 
behavior and violations of anti-trust and monopoly legislation in which the organization has been, 
identified as a participant., 
b.   Main outcomes of completed legal actions, including any decisions or judgments.",206-1
286,16.3,"Significant fines and non-monetary sanctions for non-compliance with environmental laws and/or, 
regulations in terms of:, 
i.   Total monetary value of significant fines;, 
ii.   Total number of non-monetary sanctions;, 
iii.   Cases brought through dispute resolution mechanisms.",307-1-a
287,16.3,"a.   Total number of incidents of non-compliance with regulations and/or voluntary codes concerning the, 
health and safety impacts of products and services within the reporting period, by:, 
i.   incidents of non-compliance with regulations resulting in a fine or penalty;, 
ii.   incidents of non-compliance with regulations resulting in a warning;, 
iii.  incidents of non-compliance with voluntary codes., 
b.   If the organization has not identified any non-compliance with regulations and/or voluntary codes, a, 
brief statement of this fact is sufficient.",416-2
288,16.3,"a.   Total number of incidents of non-compliance with regulations and/or voluntary codes concerning, 
product and service information and labeling, by:, 
i.  incidents of non-compliance with regulations resulting in a fine or penalty;, 
ii.   incidents of non-compliance with regulations resulting in a warning;, 
iii.   incidents of non-compliance with voluntary codes., 
b.   If the organization has not identified any non-compliance with regulations and/or voluntary codes, a, 
brief statement of this fact is sufficient.",417-2
289,16.3,"a.   Total number of incidents of non-compliance with regulations and/or voluntary codes concerning, 
marketing communications, including advertising, promotion, and sponsorship, by:, 
i.  incidents of non-compliance with regulations resulting in a fine or penalty;, 
ii.  incidents of non-compliance with regulations resulting in a warning;, 
iii.  incidents of non-compliance with voluntary codes., 
b.   If the organization has not identified any non-compliance with regulations and/or voluntary codes, a, 
brief statement of this fact is sufficient.",417-3
290,16.3,"a.   Total number of substantiated complaints received concerning breaches of customer privacy,, 
categorized by:, 
i.  complaints received from outside parties and substantiated by the organization;, 
ii.   complaints from regulatory bodies., 
b.   Total number of identified leaks, thefts, or losses of customer data., 
c.   If the organization has not identified any substantiated complaints, a brief statement of this fact is, 
sufficient.",418-1
291,16.3,"Significant fines and non-monetary sanctions for non-compliance with laws and/or regulations in the, 
social and economic area in terms of:, 
i.   Total monetary value of significant fines;, 
ii.  Total number of non-monetary sanctions;, 
iii.   Cases brought through dispute resolution mechanism",419-1-a
292,16.5,"a.   Total number and percentage of operations assessed for risks related to corruption., 
b.   Significant risks related to corruption identified through the risk assessment.",205-1
293,16.5,"a.   Total number and percentage of governance body members that the organization’s anti-corruption, 
policies and procedures have been communicated to, broken down by region., 
b.   Total number and percentage of employees that the organization’s anti-corruption policies and, 
procedures have been communicated to, broken down by employee category and region., 
c.   Total number and percentage of business partners that the organization’s anti-corruption policies, 
and procedures have been communicated to, broken down by type of business partner and region., 
Describe if the organization’s anti-corruption policies and procedures have been communicated to, 
any other persons or organizations., 
d.   Total number and percentage of governance body members that have received training on anti-, 
corruption, broken down by region., 
e.   Total number and percentage of employees that have received training on anti-corruption, broken, 
down by employee category and region.",205-2
294,16.5,"a.   Total number and nature of confirmed incidents of corruption. b. Total number of confirmed incidents, 
in which employees were dismissed or disciplined for corruption. c. Total number of confirmed, 
incidents when contracts with business partners were terminated or not renewed due to violations, 
related to corruption., 
d.   Public legal cases regarding corruption brought against the organization or its employees during the, 
reporting period and the outcomes of such cases.",205-3
295,16.5,"Total monetary value of financial and in-kind political contributions made directly and indirectly by the, 
organization by country and recipient/beneficiary.",415-1-a
296,16.6,"a.   Whether the chair of the highest governance body is also an executive officer in the organization., 
b.   If the chair is also an executive officer, describe his or her function within the organization’s, 
management and the reasons for this arrangement.",102-23
297,16.6,"a.   Processes for the highest governance body to ensure conflicts of interest are avoided and managed., 
b.   Whether conflicts of interest are disclosed to stakeholders, including, as a minimum:, 
i.  Cross-board membership;, 
ii.   Cross-shareholding with suppliers and other stakeholders;, 
iii.   Existence of controlling shareholder;, 
iv.  Related party disclosures.",102-25
298,16.7,"a.   Processes for consultation between stakeholders and the highest governance body on economic,, 
environmental, and social topics., 
b.   If consultation is delegated, describe to whom it is delegated and how the resulting feedback is, 
provided to the highest governance body.",102-21
299,16.7,"Composition of the highest governance body and its committees by:, 
i.  Executive or non-executive;, 
ii.   Independence;, 
iii.   Tenure on the governance body;, 
iv.  Number of each individual’s other significant positions and commitments, and the nature of the, 
commitments;, 
v.   Gender;, 
vi.   Membership of under-represented social groups;, 
vii.  Competencies relating to economic, environmental, and social topics;, 
viii.  Stakeholder representation.",102-22-a
300,16.7,"a.   Nomination and selection processes for the highest governance body and its committees., 
b.   Criteria used for nominating and selecting highest governance body members, including whether, 
and how:, 
i.   stakeholders (including shareholders) are involved;, 
ii.  diversity is considered;, 
iii.  independence is considered;, 
iv.  expertise and experience relating to economic, environmental, and social topics are considered.",102-24
301,16.7,"a.   Highest governance body’s role in identifying and managing economic, environmental, and social, 
topics and their impacts, risks, and opportunities – including its role in the implementation of due, 
diligence processes., 
b.   Whether stakeholder consultation is used to support the highest governance body’s identification, 
and management of economic, environmental, and social topics and their impacts, risks, and, 
opportunities.",102-29
302,16.7,"a.   How stakeholders’ views are sought and taken into account regarding remuneration., 
b.   If applicable, the results of votes on remuneration policies and proposals.",102-37
303,16.7,"A description of the processes for worker participation and consultation in the development,, 
implementation, and evaluation of the occupational health and safety management system, and for, 
providing access to and communicating relevant information on occupational health and safety to, 
workers.",403-4-a
