,Target,Target,Available Business Disclosures,Disclosure
20,13.1,"13.1







13.1
















13.1
13.1
13.1

13.1

13.1


13.1




13.1




13.1
13.1
13.1
13.1
13.1
13.1

13.1
13.1
13.1
13.1
13.1

13.1","Risks and opportunities posed by climate change that have the potential to generate substantive
changes in operations, revenue, or expenditure, including:
i.   A description of the risk or opportunity and its classification as either physical, regulatory, or
other;
ii.  A description of the impact associated with the risk or opportunity;
iii.  The financial implications of the risk or opportunity before action is taken;
iv.  The methods used to manage the risk or opportunity;
v.   The costs of actions taken to manage the risk or opportunity.
a.   Total fuel consumption within the organization from non-renewable sources, in joules or multiples,
and including fuel types used.
b.  Total fuel consumption within the organization from renewable sources, in joules or multiples, and
including fuel types used.
c.  In joules, watt-hours or multiples, the total:
i.   electricity consumption
ii.  heating consumption
iii.  cooling consumption
iv.  steam consumption
d.  In joules, watt-hours or multiples, the total:
i.  electricity sold
ii.  heating sold
iii.   cooling sold
iv.   steam sold
e.   Total energy consumption within the organization, in joules or multiples.
f.   Standards, methodologies, assumptions, and/or calculation tools used.
g.   Source of the conversion factors used.
Energy consumption outside of the organization, in joules or multiples.
Energy intensity ratio for the organization.
Amount of reductions in energy consumption achieved as a direct result of conservation and efficiency
initiatives, in joules or multiples.
Reductions in energy requirements of sold products and services achieved during the reporting period,
in joules or multiples.
a.   Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent.
b.   Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all.
c.  Biogenic CO2 emissions in metric tons of CO2 equivalent.
a. Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent.
b. If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2
equivalent.
c. If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or
all.
a.  Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent.
b.   If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,
or all.
c.   Biogenic CO2 emissions in metric tons of CO2 equivalent.
d.  Other indirect (Scope 3) GHG emissions categories and activities included in the calculation.
GHG emissions intensity ratio for the organization.
GHG emissions reduced as a direct result of reduction initiatives, in metric tons of CO2 equivalent.
Allocation of CO2e emissions allowances or equivalent, broken down by carbon trading framework
Average generation efficiency of thermal plants by energy source and by regulatory regime
Building energy intensity
Demand-side management programs including residential, commercial, institutional and industrial
programs
Greenhouse gas emissions intensity from buildings
Greenhouse gas emissions intensity from new construction and redevelopment activity
Programs and progress relating to materials stewardship
Transmission and distribution losses as a percentage of total energy
Type and number of sustainability certification, rating and labeling schemes for new construction,
management, occupation and redevelopment
Volume of flared and vented hydrocarbon","201-2-a







302-1
















302-2-a
302-3-a
302-4-a

302-5-a

305-1


305-2




305-3




305-4-a
305-5-a
EU5
EU11
CRE1
Former EU7

CRE3
CRE4
MM11
EU12
CRE8

OG6"
21,14.1,"14.1

14.1

14.1","Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or
rehabilitated
Land remediated and in need of remediation for the existing or intended land use, according to
applicable legal designations
Volume and disposal of formation or produced water","MM1

CRE5

OG5"
22,14.2,"14.2











14.2














14.2

14.2

14.2






14.2

14.2
14.2

14.2

14.2
","For each operational site owned, leased, managed in, or adjacent to, protected areas and areas of high
biodiversity value outside protected areas, the following information:
i.  Geographic location;
ii.   Subsurface and underground land that may be owned, leased, or managed by the organization;
iii.   Position in relation to the protected area (in the area, adjacent to, or containing portions of the
protected area) or the high biodiversity value area outside protected areas;
iv.   Type of operation (office, manufacturing or production, or extractive);
v.  Size of operational site in km2 (or another unit, if appropriate);
vi.  Biodiversity value characterized by the attribute of the protected area or area of high biodiversity
value outside the protected area (terrestrial, freshwater, or maritime ecosystem);
vii.Biodiversity value characterized by listing of protected status (such as IUCN Protected Area
Management Categories, Ramsar Convention, national legislation).
a.  Nature of significant direct and indirect impacts on biodiversity with reference to one or more of the
following:
i.   Construction or use of manufacturing plants, mines, and transport infrastructure;
ii.  Pollution (introduction of substances that do not naturally occur in the habitat from point and
non-point sources);
iii.  Introduction of invasive species, pests, and pathogens;
iv.   Reduction of species;
v.   Habitat conversion;
vi.  Changes in ecological processes outside the natural range of variation (such as salinity or
changes in groundwater level).
b.  Significant direct and indirect positive and negative impacts with reference to the following:
i.   Species affected;
ii.  Extent of areas impacted;
iii.  Duration of impacts;
iv.   Reversibility or irreversibility of the impacts.
Size and location of all habitat areas protected or restored, and whether the success of the restoration
measure was or is approved by independent external professionals.
Whether partnerships exist with third parties to protect or restore habitat areas distinct from where the
organization has overseen and implemented restoration or protection measures.
Total number of IUCN Red List species and national conservation list species with habitats in areas
affected by the operations of the organization, by level of extinction risk:
i.  Critically endangered
ii.  Endangered
iii.  Vulnerable
iv.  Near threatened
v.  Least concern
Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or
rehabilitated
Biodiversity of offset habitats compared to the biodiversity of the affected areas
Land remediated and in need of remediation for the existing or intended land use, according to
applicable legal designations
Number and percentage of significant operating sites in which biodiversity risk has been assessed and
monitored
The number and percentage of total sites identified as requiring biodiversity management plans
according to stated criteria, and the number (percentage) of those sites with plans in place","304-1-a











304-2














304-3-a

304-3-b

304-4-a






MM1

EU13
CRE5

OG4

MM2
"
23,14.3,"14.3











14.3













14.3












14.3
14.3
14.3









14.3
14.3
14.3
14.3
14.3
14.3
14.3","a.   Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent.
b.  Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all.
c.   Biogenic CO2 emissions in metric tons of CO2 equivalent.
d.   Base year for the calculation, if applicable, including:
i.  the rationale for choosing it;
ii.   emissions in the base year;
iii.   the context for any significant changes in emissions that triggered recalculations of base year
emissions.
e.   Source of the emission factors and the global warming potential (GWP) rates used, or a reference to
the GWP source.
f.  Consolidation approach for emissions; whether equity share, financial control, or operational control.
g.   Standards, methodologies, assumptions, and/or calculation tools used.
a.   Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent.
b.   If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2
equivalent.
c.  If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,
or all.
d.   Base year for the calculation, if applicable, including:
i.  the rationale for choosing it;
ii.  emissions in the base year;
iii.  the context for any significant changes in emissions that triggered recalculations of base year
emissions.
e.  Source of the emission factors and the global warming potential (GWP) rates used, or a reference to
the GWP source.
f.   Consolidation approach for emissions; whether equity share, financial control, or operational control.
g.  Standards, methodologies, assumptions, and/or calculation tools used.
a.   Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent.
b.   If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,
or all.
c.   Biogenic CO2 emissions in metric tons of CO2 equivalent.
d.  Other indirect (Scope 3) GHG emissions categories and activities included in the calculation.
e.   Base year for the calculation, if applicable, including:
i.  the rationale for choosing it;
ii.  emissions in the base year;
iii.  the context for any significant changes in emissions that triggered recalculations of base year
emissions.
f.  Source of the emission factors and the global warming potential (GWP) rates used, or a reference to
the GWP source.
g.  Standards, methodologies, assumptions, and/or calculation tools used.
GHG emissions intensity ratio for the organization.
GHG emissions reduced as a direct result of reduction initiatives, in metric tons of CO2 equivalent.
a.  Significant air emissions, in kilograms or multiples, for each of the following:
i.  NOX
ii.  SOX
iii.  Persistent organic pollutants (POP)
iv.  Volatile organic compounds (VOC)
v.  Hazardous air pollutants (HAP)
vi.  Particulate matter (PM)
vii.  Other standard categories of air emissions identified in relevant regulations
b.  Source of the emission factors used.
c.  Standards, methodologies, assumptions, and/or calculation tools used.
Allocation of CO2e emissions allowances or equivalent, broken down by carbon trading framework
Average generation efficiency of thermal plants by energy source and by regulatory regime
Greenhouse gas emissions intensity from buildings
Greenhouse gas emissions intensity from new construction and redevelopment activity
Net energy output broken down by primary energy source and by regulatory regime
Transmission and distribution losses as a percentage of total energy
Volume of flared and vented hydrocarbon","305-1











305-2













305-3












305-4-a
305-5-a
305-7









EU5
EU11
CRE3
CRE4
EU2
EU12
OG6"
24,14.4,"14.4

14.4","Percentage of purchased volume which is verified as being in accordance with credible, internationally
recognized responsible production standards, broken down by standard
Type and sustainability performance of sourcing initiatives","FP2

EO9"
25,15.1,"15.1











15.1














15.1





15.1






15.1
15.1
15.1






15.1





15.1

15.1
15.1

15.1

15.1
","For each operational site owned, leased, managed in, or adjacent to, protected areas and areas of high
biodiversity value outside protected areas, the following information:
i.  Geographic location;
ii.   Subsurface and underground land that may be owned, leased, or managed by the organization;
iii.  Position in relation to the protected area (in the area, adjacent to, or containing portions of the
protected area) or the high biodiversity value area outside protected areas;
iv.  Type of operation (office, manufacturing or production, or extractive);
v.   Size of operational site in km2 (or another unit, if appropriate);
vi.   Biodiversity value characterized by the attribute of the protected area or area of high biodiversity
value outside the protected area (terrestrial, freshwater, or maritime ecosystem);
vii.Biodiversity value characterized by listing of protected status (such as IUCN Protected Area
Management Categories, Ramsar Convention, national legislation).
a.   Nature of significant direct and indirect impacts on biodiversity with reference to one or more of the
following:
i.  Construction or use of manufacturing plants, mines, and transport infrastructure;
ii.   Pollution (introduction of substances that do not naturally occur in the habitat from point and
non-point sources);
iii.   Introduction of invasive species, pests, and pathogens;
iv.   Reduction of species;
v.  Habitat conversion;
vi.  Changes in ecological processes outside the natural range of variation (such as salinity or
changes in groundwater level).
b.  Significant direct and indirect positive and negative impacts with reference to the following:
i.   Species affected;
ii.   Extent of areas impacted;
iii.  Duration of impacts;
iv.   Reversibility or irreversibility of the impacts.
a.  Size and location of all habitat areas protected or restored, and whether the success of the
restoration measure was or is approved by independent external professionals.
b.   Whether partnerships exist with third parties to protect or restore habitat areas distinct from where
the organization has overseen and implemented restoration or protection measures.
c.  Status of each area based on its condition at the close of the reporting period.
d.   Standards, methodologies, and assumptions used.
Total number of IUCN Red List species and national conservation list species with habitats in areas
affected by the operations of the organization, by level of extinction risk:
i.  Critically endangered
ii.  Endangered
iii.  Vulnerable
iv.  Near threatened
v.  Least concern
Total number and total volume of recorded significant spills.
Impacts of significant spills.
The following additional information for each spill that was reported in the organization’s financial
statements:
i.  Location of spill;
ii.  Volume of spill;
iii.   Material of spill, categorized by: oil spills (soil or water surfaces), fuel spills (soil or water
surfaces), spills of wastes (soil or water surfaces), spills of chemicals (mostly soil or water
surfaces), and other (to be specified by the organization).
Water bodies and related habitats that are significantly affected by water discharges and/or runoff,
including information on:
i.  The size of the water body and related habitat;
ii.   Whether the water body and related habitat is designated as a nationally or internationally
protected area;
iii.  The biodiversity value, such as total number of protected species.
Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or
rehabilitated
Biodiversity of offset habitats compared to the biodiversity of the affected areas
Land remediated and in need of remediation for the existing or intended land use, according to
applicable legal designations
Number and percentage of significant operating sites in which biodiversity risk has been assessed and
monitored
The number and percentage of total sites identified as requiring biodiversity management plans
according to stated criteria, and the number (percentage) of those sites with plans in place","304-1-a











304-2














304-3





304-4-a






306-3-a
306-3-b
306-3-c






306-5-a





MM1

EU13
CRE5

OG4

MM2
"
26,15.2,"15.2











15.2













15.2












15.2
15.2
15.2









15.2
15.2

15.2
15.2
15.2

15.2

15.2
15.2","a.   Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent.
b.  Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all.
c.   Biogenic CO2 emissions in metric tons of CO2 equivalent.
d.  Base year for the calculation, if applicable, including:
i.   the rationale for choosing it;
ii.  emissions in the base year;
iii.  the context for any significant changes in emissions that triggered recalculations of base year
emissions.
e.  Source of the emission factors and the global warming potential (GWP) rates used, or a reference to
the GWP source.
f.   Consolidation approach for emissions; whether equity share, financial control, or operational control.
g.   Standards, methodologies, assumptions, and/or calculation tools used.
a.   Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent.
b.  If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2
equivalent.
c.  If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,
or all.
d.   Base year for the calculation, if applicable, including:
i.  the rationale for choosing it;
ii.  emissions in the base year;
iii.  the context for any significant changes in emissions that triggered recalculations of base year
emissions.
e.   Source of the emission factors and the global warming potential (GWP) rates used, or a reference to
the GWP source.
f.  Consolidation approach for emissions; whether equity share, financial control, or operational control.
g.   Standards, methodologies, assumptions, and/or calculation tools used.
a.   Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent.
b.   If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,
or all.
c.   Biogenic CO2 emissions in metric tons of CO2 equivalent.
d.   Other indirect (Scope 3) GHG emissions categories and activities included in the calculation.
e.  Base year for the calculation, if applicable, including:
i.  the rationale for choosing it;
ii.  emissions in the base year;
iii.  the context for any significant changes in emissions that triggered recalculations of base year
emissions.
f.   Source of the emission factors and the global warming potential (GWP) rates used, or a reference to
the GWP source.
g.  Standards, methodologies, assumptions, and/or calculation tools used.
GHG emissions intensity ratio for the organization
GHG emissions reduced as a direct result of reduction initiatives, in metric tons of CO2 equivalent.
a.  Significant air emissions, in kilograms or multiples, for each of the following:
i.  NOX
ii.  SOX
iii.  Persistent organic pollutants (POP)
iv.  Volatile organic compounds (VOC)
v.  Hazardous air pollutants (HAP)
vi.  Particulate matter (PM)
vii.  Other standard categories of air emissions identified in relevant regulations
b.   Source of the emission factors used.
c.   Standards, methodologies, assumptions, and/or calculation tools used.
Allocation of CO2e emissions allowances or equivalent, broken down by carbon trading framework
Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or
rehabilitated
Greenhouse gas emissions intensity from buildings
Greenhouse gas emissions intensity from new construction and redevelopment activity
Land remediated and in need of remediation for the existing or intended land use, according to
applicable legal designations
Percentage of purchased volume which is verified as being in accordance with credible, internationally
recognized responsible production standards, broken down by standard
Type and sustainability performance of sourcing initiatives
Volume of biofuels produced and purchased meeting sustainability criteria","305-1











305-2













305-3












305-4-a
305-5-a
305-7









EU5
MM1

CRE3
CRE4
CRE5

FP2

EO9
OG14"
27,15.3,"15.3

15.3
","Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or
rehabilitated
Land remediated and in need of remediation for the existing or intended land use, according to
applicable legal designations","MM1

CRE5
"
28,15.4,"15.4

15.4
15.4

15.4

15.4

15.4","Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or
rehabilitated
Biodiversity of offset habitats compared to the biodiversity of the affected areas
Land remediated and in need of remediation for the existing or intended land use, according to
applicable legal designations
Number and percentage of significant operating sites in which biodiversity risk has been assessed and
monitored
The number and percentage of total sites identified as requiring biodiversity management plans
according to stated criteria, and the number (percentage) of those sites with plans in place
Volume of biofuels produced and purchased meeting sustainability criteria","MM1

EU13
CRE5

OG4

MM2

OG14"
29,15.5,"15.5











15.5














15.5





15.5






15.5

15.5
15.5

15.5

15.5

15.5

15.5
15.5","a.   For each operational site owned, leased, managed in, or adjacent to, protected areas and areas of
high biodiversity value outside protected areas, the following information:
i.   Geographic location;
ii.  Subsurface and underground land that may be owned, leased, or managed by the organization;
iii.   Position in relation to the protected area (in the area, adjacent to, or containing portions of the
protected area) or the high biodiversity value area outside protected areas;
iv.   Type of operation (office, manufacturing or production, or extractive);
v.   Size of operational site in km2 (or another unit, if appropriate);
vi.  Biodiversity value characterized by the attribute of the protected area or area of high biodiversity
value outside the protected area (terrestrial, freshwater, or maritime ecosystem);
vii.Biodiversity value characterized by listing of protected status (such as IUCN Protected Area
Management Categories, Ramsar Convention, national legislation).
a.   Nature of significant direct and indirect impacts on biodiversity with reference to one or more of the
following:
i.  Construction or use of manufacturing plants, mines, and transport infrastructure;
ii.   Pollution (introduction of substances that do not naturally occur in the habitat from point and
non-point sources);
iii.  Introduction of invasive species, pests, and pathogens;
iv.  Reduction of species;
v.   Habitat conversion;
vi.  Changes in ecological processes outside the natural range of variation (such as salinity or
changes in groundwater level).
b.  Significant direct and indirect positive and negative impacts with reference to the following:
i.  Species affected;
ii.  Extent of areas impacted;
iii.   Duration of impacts;
iv.   Reversibility or irreversibility of the impacts.
a.   Size and location of all habitat areas protected or restored, and whether the success of the
restoration measure was or is approved by independent external professionals.
b.   Whether partnerships exist with third parties to protect or restore habitat areas distinct from where
the organization has overseen and implemented restoration or protection measures.
c.  Status of each area based on its condition at the close of the reporting period.
d.  Standards, methodologies, and assumptions used.
Total number of IUCN Red List species and national conservation list species with habitats in areas
affected by the operations of the organization, by level of extinction risk:
i.  Critically endangered
ii.  Endangered
iii.  Vulnerable
iv.  Near threatened
v.  Least concern
Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or
rehabilitated
Biodiversity of offset habitats compared to the biodiversity of the affected areas
Land remediated and in need of remediation for the existing or intended land use, according to
applicable legal designations
Number and percentage of significant operating sites in which biodiversity risk has been assessed and
monitored
Percentage of purchased volume which is verified as being in accordance with credible, internationally
recognized responsible production standards, broken down by standard
The number and percentage of total sites identified as requiring biodiversity management plans
according to stated criteria, and the number (percentage) of those sites with plans in place
Type and sustainability performance of sourcing initiatives
Volume of biofuels produced and purchased meeting sustainability criteria","304-1-a











304-2














304-3





304-4-a






MM1

EU13
CRE5

OG4

FP2

MM2

EO9
OG14"
30,15.6,15.6,"Percentage and total of animals raised and/or processed, by species and breed type",FP9
31,16.1,"16.1









16.1










16.1







16.1


















16.1


16.1

16.1






16.1






16.1

16.1


16.1
16.1
16.1","Report the information for all employees about:
i.   The number and rate of fatalities as a result of work-related injury;
ii.   The number and rate of high-consequence work-related injuries (excluding fatalities);
iii.  The number and rate of recordable work-related injuries;
iv.   The main types of work-related injury;
v.   The number of hours worked.
Whether and, if so, why any workers have been excluded from this disclosure, including the types of
worker excluded.
Any contextual information necessary to understand how the data have been compiled, such as any
standards, methodologies, and assumptions used.
Report the information for all workers who are not employees but whose work and/or workplace is
controlled by the organization:
i.  The number and rate of fatalities as a result of work-related injury;
ii.   The number and rate of high-consequence work-related injuries (excluding fatalities);
iii.   The number and rate of recordable work-related injuries;
iv.  The main types of work-related injury;
v.  The number of hours worked.
Whether and, if so, why any workers have been excluded from this disclosure, including the types of
worker excluded.
Any contextual information necessary to understand how the data have been compiled, such as any
standards, methodologies, and assumptions used.
The work-related hazards that pose a risk of high-consequence injury, including:
i.   how these hazards have been determined;
ii.   which of these hazards have caused or contributed to high-consequence injuries during the
reporting period;
iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of
controls.
Any actions taken or underway to eliminate other work-related hazards and minimize risks using the
hierarchy of controls.
a.   For all employees:
i.  The number of fatalities as a result of work-related ill health;
ii.  The number of cases of recordable work-related ill health;
iii.   The main types of work-related ill health.
b.   For all workers who are not employees but whose work and/or workplace is controlled by the
organization:
i.  The number of fatalities as a result of work-related ill health;
ii.  The number of cases of recordable work-related ill health;
iii.  The main types of work-related ill health.
c.   The work-related hazards that pose a risk of ill health, including:
i.  how these hazards have been determined;
ii.  which of these hazards have caused or contributed to cases of ill health during the reporting
period;
iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of
controls.
d.   Whether and, if so, why any workers have been excluded from this disclosure, including the types of
worker excluded.
e.   Any contextual information necessary to understand how the data have been compiled, such as any
standards, methodologies, and assumptions used.
a.   Percentage of security personnel who have received formal training in the organization’s human
rights policies or specific procedures and their application to security.
b.   Whether training requirements also apply to third-party organizations providing security personnel.
Percentage of new suppliers that were screened using social criteria

a.   Number of suppliers assessed for social impacts.
b.   Number of suppliers identified as having significant actual and potential negative social impacts.
c.   Significant actual and potential negative social impacts identified in the supply chain.
d.   Percentage of suppliers identified as having significant actual and potential negative social impacts
with which improvements were agreed upon as a result of assessment.
e.   Percentage of suppliers identified as having significant actual and potential negative social impacts
with which relationships were terminated as a result of assessment, and why.
a.   Total number of substantiated complaints received concerning breaches of customer privacy,
categorized by:
i.  complaints received from outside parties and substantiated by the organization;
ii.   complaints from regulatory bodies.
b.   Total number of identified leaks, thefts, or losses of customer data.
c.   If the organization has not identified any substantiated complaints, a brief statement of this fact is
sufficient.
Actions taken to improve performance in relation to content dissemination issues (accessibility and
protection of vulnerable audiences and informed decision making) and results obtained
Number and nature of responses (feedback/complaints) related to content dissemination, including
protection of vulnerable audiences and informed decision making and accessibility, and processes for
addressing these responses
Expressions of dissent by type, issue, scale and response
Methods to interact with audiences and results
Nature and extent of knowledge transfer of best practice, and lessons learned","403-9-a









403-9-b










403-9-c







403-10


















410-1


414-1-a

414-2






418-1






M4

M5


EO4
M6
EO12"
32,16.2,"16.2







","a.   Operations and suppliers considered to have significant risk for incidents of:
i.  child labor;
ii.  young workers exposed to hazardous work.
b.   Operations and suppliers considered to have significant risk for incidents of child labor either in
terms of:
i.   type of operation (such as manufacturing plant) and supplier;
ii.  countries or geographic areas with operations and suppliers considered at risk.
c.   Measures taken by the organization in the reporting period intended to contribute to the effective
abolition of child labor.","408-1







"
33,16.3,"16.3

16.3


16.3



16.3




16.3






16.3






16.3






16.3






16.3



","A description of the organization’s values, principles, standards, and norms of behavior.

A description of internal and external mechanisms for:
i.  Seeking advice about ethical and lawful behavior, and organizational integrity;
ii.  Reporting concerns about unethical or unlawful behavior, and organizational integrity
a.   Number of legal actions pending or completed during the reporting period regarding anti-competitive
behavior and violations of anti-trust and monopoly legislation in which the organization has been
identified as a participant.
b.   Main outcomes of completed legal actions, including any decisions or judgments.
Significant fines and non-monetary sanctions for non-compliance with environmental laws and/or
regulations in terms of:
i.   Total monetary value of significant fines;
ii.   Total number of non-monetary sanctions;
iii.   Cases brought through dispute resolution mechanisms.
a.   Total number of incidents of non-compliance with regulations and/or voluntary codes concerning the
health and safety impacts of products and services within the reporting period, by:
i.   incidents of non-compliance with regulations resulting in a fine or penalty;
ii.   incidents of non-compliance with regulations resulting in a warning;
iii.  incidents of non-compliance with voluntary codes.
b.   If the organization has not identified any non-compliance with regulations and/or voluntary codes, a
brief statement of this fact is sufficient.
a.   Total number of incidents of non-compliance with regulations and/or voluntary codes concerning
product and service information and labeling, by:
i.  incidents of non-compliance with regulations resulting in a fine or penalty;
ii.   incidents of non-compliance with regulations resulting in a warning;
iii.   incidents of non-compliance with voluntary codes.
b.   If the organization has not identified any non-compliance with regulations and/or voluntary codes, a
brief statement of this fact is sufficient.
a.   Total number of incidents of non-compliance with regulations and/or voluntary codes concerning
marketing communications, including advertising, promotion, and sponsorship, by:
i.  incidents of non-compliance with regulations resulting in a fine or penalty;
ii.  incidents of non-compliance with regulations resulting in a warning;
iii.  incidents of non-compliance with voluntary codes.
b.   If the organization has not identified any non-compliance with regulations and/or voluntary codes, a
brief statement of this fact is sufficient.
a.   Total number of substantiated complaints received concerning breaches of customer privacy,
categorized by:
i.  complaints received from outside parties and substantiated by the organization;
ii.   complaints from regulatory bodies.
b.   Total number of identified leaks, thefts, or losses of customer data.
c.   If the organization has not identified any substantiated complaints, a brief statement of this fact is
sufficient.
Significant fines and non-monetary sanctions for non-compliance with laws and/or regulations in the
social and economic area in terms of:
i.   Total monetary value of significant fines;
ii.  Total number of non-monetary sanctions;
iii.   Cases brought through dispute resolution mechanism","102-16-a

102-17-a


206-1



307-1-a




416-2






417-2






417-3






418-1






419-1-a



"
34,16.5,"16.5

16.5











16.5





16.5
","a.   Total number and percentage of operations assessed for risks related to corruption.
b.   Significant risks related to corruption identified through the risk assessment.
a.   Total number and percentage of governance body members that the organization’s anti-corruption
policies and procedures have been communicated to, broken down by region.
b.   Total number and percentage of employees that the organization’s anti-corruption policies and
procedures have been communicated to, broken down by employee category and region.
c.   Total number and percentage of business partners that the organization’s anti-corruption policies
and procedures have been communicated to, broken down by type of business partner and region.
Describe if the organization’s anti-corruption policies and procedures have been communicated to
any other persons or organizations.
d.   Total number and percentage of governance body members that have received training on anti-
corruption, broken down by region.
e.   Total number and percentage of employees that have received training on anti-corruption, broken
down by employee category and region.
a.   Total number and nature of confirmed incidents of corruption. b. Total number of confirmed incidents
in which employees were dismissed or disciplined for corruption. c. Total number of confirmed
incidents when contracts with business partners were terminated or not renewed due to violations
related to corruption.
d.   Public legal cases regarding corruption brought against the organization or its employees during the
reporting period and the outcomes of such cases.
Total monetary value of financial and in-kind political contributions made directly and indirectly by the
organization by country and recipient/beneficiary.","205-1

205-2











205-3





415-1-a
"
35,16.6,"16.6


16.6




","a.   Whether the chair of the highest governance body is also an executive officer in the organization.
b.   If the chair is also an executive officer, describe his or her function within the organization’s
management and the reasons for this arrangement.
a.   Processes for the highest governance body to ensure conflicts of interest are avoided and managed.
b.   Whether conflicts of interest are disclosed to stakeholders, including, as a minimum:
i.  Cross-board membership;
ii.   Cross-shareholding with suppliers and other stakeholders;
iii.   Existence of controlling shareholder;
iv.  Related party disclosures.","102-23


102-25




"
36,16.7,"16.7



16.7









16.7






16.7





16.7

16.7



16.7


16.7
","a.   Processes for consultation between stakeholders and the highest governance body on economic,
environmental, and social topics.
b.   If consultation is delegated, describe to whom it is delegated and how the resulting feedback is
provided to the highest governance body.
Composition of the highest governance body and its committees by:
i.  Executive or non-executive;
ii.   Independence;
iii.   Tenure on the governance body;
iv.  Number of each individual’s other significant positions and commitments, and the nature of the
commitments;
v.   Gender;
vi.   Membership of under-represented social groups;
vii.  Competencies relating to economic, environmental, and social topics;
viii.  Stakeholder representation.
a.   Nomination and selection processes for the highest governance body and its committees.
b.   Criteria used for nominating and selecting highest governance body members, including whether
and how:
i.   stakeholders (including shareholders) are involved;
ii.  diversity is considered;
iii.  independence is considered;
iv.  expertise and experience relating to economic, environmental, and social topics are considered.
a.   Highest governance body’s role in identifying and managing economic, environmental, and social
topics and their impacts, risks, and opportunities – including its role in the implementation of due
diligence processes.
b.   Whether stakeholder consultation is used to support the highest governance body’s identification
and management of economic, environmental, and social topics and their impacts, risks, and
opportunities.
a.   How stakeholders’ views are sought and taken into account regarding remuneration.
b.   If applicable, the results of votes on remuneration policies and proposals.
A description of the processes for worker participation and consultation in the development,
implementation, and evaluation of the occupational health and safety management system, and for
providing access to and communicating relevant information on occupational health and safety to
workers.
Where formal joint management–worker health and safety committees exist, a description of their
responsibilities, meeting frequency, decision-making authority, and whether and, if so, why any workers
are not represented by these committees.
Stakeholder participation in decision making processes related to energy planning and infrastructure
development","102-21



102-22-a









102-24






102-29





102-37

403-4-a



403-4-b


Former EU19
"
